Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
China,3414.5,3986.51,9132.07,10622.0,12009.6,13829.0,17863.8,27633.75,30889.75,28024.46,34640.85,34203.22,57414.79,55134.68,64452.91,61912.27,79840.02,74607.48,63406.6,137542.19,121439.76,138274.76,297574.76
Chinese Taipei,94.45,113.88,-20.58,14.44,28.75,89.91,101.69,84.25,126.82,167.15,201.0,192.73,221.85,249.02,264.47,396.21,532.95,995.41,1540.67,1767.6,1992.05,2576.03,3784.47
Colombia,407.95,359.82,-180.38,84.22,12.33,21.76,43.76,5.54,20.57,106.52,680.74,60.47,95.98,1059.73,623.03,131.05,182.58,122.99,96.63,93.48,115.65,905.12,853.07
Comoros (the),0.0,0.61,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.34,0.0,0.02,-0.01,-0.79,3.67,0.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.02,0.0,0.0,6.52,13.42,0.0,0.0,0.46,0.04,0.08,0.0
Cook Islands (the),0.0,0.0,0.04,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.65,0.96,1.23,0.11,0.0,1.82,0.74,0.0,0.0,0.0,0.0
Costa Rica,19.85,45.57,53.5,18.55,3.75,107.89,86.34,23.89,56.16,43.05,156.36,73.89,28.06,156.65,191.59,427.99,64.25,99.94,62.82,-20.56,58.65,-44.52,58.77
Croatia,0.0,-13.0,10.0,13.0,-4.0,11.0,-2.0,2.5,70.3,60.0,56.0,57.7,143.0,102.1,136.8,80.0,122.3,63.2,89.3,186.4,235.5,95.0,394.7
Cuba,0.0,0.0,0.0,1.1,670.6,-232.1,95.35,24.3,-1.7,11.1,-2.1,-26.8,-38.7,40.36,83.2,-18.7,65.47,28.92,356.06,212.87,21.48,13.14,22.0
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,3.0,4.6,2.4,1.0,16.5,0.8,0.0,1.3,0.0,0.0,0.14
Cyprus,0.0,0.0,0.0,1.23,0.0,0.0,0.99,7.0,3.0,85.0,56.0,20.0,19.0,29.0,22.5,8.0,25.8,11.4,32.78,77.88,85.6,110.06,182.4
Czechia,46.0,6.5,8.32,52.0,20.69,55.75,131.42,134.74,542.1,1353.4,281.0,317.0,97.5,74.9,44.5,-2.0,65.48,-7.03,103.92,76.25,100.86,182.96,88.6
Côte d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.27,0.17,275.56,1.09,2.11,2.19,1.35,1.25,37.5
DR Congo,15.0,0.0,5.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.02,0.07,0.3,0.87,0.1,15.75,14.86,173.46,9.9,0.0,0.0,328.25,240.0
Democratic People's Republic of Korea (the),200.03,20.01,0.22,0.08,0.02,0.06,130.04,-454.75,-568.84,40.32,2.78,300.86,26.86,15.02,186.01,243.66,64.26,42.63,15.03,89.27,23.0,38.55,13.67
Denmark,166.63,500.88,333.89,185.29,114.13,-130.64,-168.49,308.66,481.43,481.18,207.62,825.52,634.48,166.17,359.63,300.53,783.79,708.35,278.04,476.2,1210.36,1300.29,857.1
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,20.0,0.0,60.0
Dominica,0.0,0.01,0.0,0.01,0.0,0.02,0.06,-2.81,0.01,2.12,0.0,0.01,0.0,0.0,0.0,0.4,0.0,-0.31,0.0,0.0,0.0,0.0,0.0
Dominican Republic,10.78,60.1,0.17,-0.07,-73.25,0.14,0.08,3.07,51.18,0.16,33.69,117.26,2.7,9.99,35.58,97.88,84.07,145.05,340.14,50.72,198.3,199.48,341.62
Ecuador,23.2,7.99,0.12,34.9,47.52,46.19,258.76,32.25,2.92,177.66,-7.98,29.52,20.32,51.95,158.65,2041.69,74.86,551.6,10.0,21.35,2.08,93.55,53.8
Egypt,0.4,0.1,0.8,76.0,0.0,85.0,80.1,93.4,45.4,128.7,20.0,0.0,0.0,0.0,201.0,23.0,121.0,991.2,896.5,243.8,324.0,64.0,387.5
El Salvador,1.12,32.5,22.85,1.0,33.9,16.24,91.8,-1.98,0.0,-9.2,22.35,-4.84,20.3,2.75,84.36,55.84,188.33,92.63,239.38,103.19,81.17,30.12,39.6
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.16,0.19,1.54,-0.01,-0.02,-0.13,-0.18,0.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.02,0.01,7.82,0.0,1.16,16.34,0.51,0.05,-0.01,-0.78,-0.34,0.0
Estonia,0.0,3.0,8.0,4.0,26.0,0.0,19.0,27.0,77.1,85.0,78.1,107.18,77.12,42.84,32.16,13.5,8.1,-6.55,106.95,113.17,183.1,128.23,260.0
Eswatini,0.0,0.0,0.01,0.04,0.07,0.03,0.07,19.83,0.03,0.34,61.62,0.02,0.02,-16.98,0.03,0.1,0.0,0.0,0.0,0.03,10.0,0.0,0.0
Ethiopia,72.0,0.0,34.0,210.0,0.0,0.0,0.0,0.0,720.03,460.0,178.43,0.82,143.39,5.79,388.76,30.15,1717.06,84.85,0.0,261.84,46.0,830.0,-43.7
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.08,0.0,0.99,0.0,0.0,0.0,0.99,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,0.0,0.0,1.98,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,11.7,0.3,-0.3,0.0,-3.56,-3.34,6.72,4.83,0.0,0.0
Fiji,0.04,0.03,0.04,6.48,0.06,12.13,10.18,9.03,0.02,0.09,0.04,44.65,-0.43,0.56,6.98,2.0,14.51,0.57,0.09,0.35,7.99,0.44,1.17
Finland,157.0,41.0,124.0,77.0,65.0,33.0,108.0,-60.0,-76.0,80.0,155.0,47.0,303.0,231.0,395.0,604.0,766.0,51.0,327.0,884.0,790.0,3145.0,1384.0
France,82.0,244.5,113.0,82.0,372.5,769.5,891.5,1258.5,1492.0,2424.0,3283.57,2324.9,1591.59,1816.13,2291.5,2034.65,2977.65,2650.68,2856.39,2303.72,3852.85,4992.22,4609.0
French Guiana,0.0,0.0,0.0,0.0,0.12,0.0,0.04,0.11,0.86,22.69,17.43,0.7,0.26,0.35,14.8,0.0,0.06,0.0,5.82,1.16,0.29,0.04,0.0
French Polynesia,0.15,0.13,0.19,0.24,0.29,0.24,0.17,0.43,0.23,0.41,8.1,3.18,4.92,6.4,4.0,2.4,3.12,3.3,4.02,3.52,1.06,6.99,0.75
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Gambia (the),0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.15,0.11,0.0,0.91,0.09,0.27,0.12,0.47,0.31,0.04,0.5,-0.01,-0.01,-0.08,0.0
Georgia,0.0,0.0,0.0,0.0,0.0,24.0,119.27,9.25,4.9,-120.16,0.0,47.0,18.0,137.0,2.0,378.39,-46.86,107.48,82.79,24.92,44.65,27.0,104.29
Germany,3021.0,3534.0,3296.5,3217.7,3599.5,3743.5,3208.3,3021.0,8785.5,9311.5,10876.0,10728.5,5616.5,6559.0,7526.0,6584.5,8078.5,6390.5,6163.5,6618.0,7390.5,10066.5,17796.0
Ghana,0.0,0.0,0.0,108.0,0.0,-1.67,0.0,2.67,0.0,0.0,0.0,0.0,403.14,6.0,28.71,4.3,5.78,30.01,10.84,24.79,57.57,3.53,0.0
Greece,70.0,19.0,85.0,121.0,28.0,290.0,132.0,206.0,208.0,298.0,765.0,1049.0,1102.0,338.0,128.0,286.0,261.61,333.95,903.11,998.7,1534.69,1224.88,2124.0
Greenland,0.0,0.0,0.0,1.2,0.0,0.0,7.6,15.0,0.0,15.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.2,0.25,0.09,0.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.07,0.09,0.04,0.21,0.18,0.32,1.16,0.1,0.38,0.61,0.33,0.05,0.0,0.13
Guadeloupe,3.3,2.9,6.01,0.27,11.06,3.29,4.02,3.94,6.04,13.66,32.59,11.01,1.79,-1.07,4.24,1.02,5.13,18.82,16.16,14.8,12.19,3.14,-0.01
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.05,0.18,0.49,0.63,30.51,2.97,1.66,1.77,1.66,1.65,1.64,61.66,0.11
Guatemala,27.25,102.75,25.91,87.43,106.34,57.74,51.05,52.97,2.08,106.42,78.48,152.34,79.86,139.36,390.75,419.62,88.35,148.68,30.44,0.45,-171.24,5.3,5.8
