Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,7261.2,7461.2,7503.2,7636.5,7976.5,9010.6,9166.5,9624.1,9773.1,10319.1,11242.1,11836.1,13361.1,14812.1,16220.1,17641.1,18889.1,20975.1,26114.1,31911.1,38563.1,43535.1,49437.1,54834.42
Austria,12478.0,12513.0,12416.0,12879.0,13182.0,14242.58,14643.45,15085.42,15569.9,15860.12,16176.71,16707.8,16655.99,17192.15,17839.29,18472.73,19336.04,19596.31,20375.6,20773.54,21155.59,22109.69,23489.42,26712.42
Azerbaijan,922.0,933.0,934.0,970.0,970.0,970.0,1025.0,1025.1,1025.1,989.1,997.3,1001.0,1026.0,1124.7,1120.1,1153.85,1183.65,1193.55,1276.75,1288.95,1295.55,1315.8,1324.6,1687.8
Bahamas,,,0.93,0.93,0.93,0.93,0.93,1.02,1.02,1.13,1.23,1.64,1.85,2.26,2.92,3.28,3.43,3.43,3.55,4.93,5.38,10.48,15.53,15.6
Bahrain,,,,,,,,,0.68,0.68,0.68,0.68,0.68,0.68,5.68,5.68,6.68,6.68,6.99,10.38,10.78,22.01,48.27,59.3
Bangladesh,270.01,270.01,270.05,270.62,271.4,272.48,274.87,277.5,283.01,290.89,305.63,354.21,378.53,417.14,445.26,473.68,443.36,494.6,518.31,557.56,621.52,783.97,801.11,1026.4
Barbados,0.04,0.14,0.14,0.14,0.14,0.24,0.24,0.64,0.64,0.84,1.04,1.29,1.54,0.47,1.33,3.13,15.0,16.46,17.31,33.27,49.21,63.99,70.5,70.5
Belarus,10.44,11.03,12.34,12.34,12.59,12.9,16.45,20.15,28.79,29.23,29.75,35.13,55.4,74.3,81.0,96.7,222.16,300.06,389.76,414.66,490.8,491.5,627.9,631.9
Belgium,232.5,277.5,300.0,407.5,458.0,788.5,879.0,988.5,1192.5,2011.0,3052.1,4197.6,5119.0,5754.1,5981.95,6368.1,6695.05,7419.3,8299.6,9510.65,11273.05,11888.4,13052.65,15046.8
Belize,52.87,52.87,52.87,52.87,52.87,60.17,60.17,63.67,63.67,63.67,82.67,82.67,83.16,83.16,83.17,83.17,83.17,91.18,91.53,97.22,97.22,97.22,97.19,97.19
Benin,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1.94,2.7,2.94,3.09,4.31,5.35,6.52,33.88,33.88
Bhutan,344.35,359.46,413.63,428.63,428.63,468.76,468.35,1488.45,1488.45,1488.35,1488.35,1488.35,1488.35,1488.35,1488.35,1614.95,1614.95,1614.95,1615.19,2335.19,2335.19,2335.39,2335.39,2336.28
Bolivia,370.28,379.46,468.92,452.6,506.24,506.27,529.88,557.75,563.79,570.61,568.87,524.27,524.17,525.08,543.02,608.6,647.07,754.17,905.08,910.71,1026.69,1176.31,1226.4,1298.82
"Bonaire, Sint Eustatius and Saba",,,,,,,,0.33,0.33,10.23,10.23,10.23,10.23,11.13,11.13,11.43,13.38,15.64,16.77,17.77,17.77,17.77,17.77,18.91
Bosnia and Herzegovina,1508.0,1508.0,1508.0,1508.1,1538.2,1538.3,1538.3,1538.3,1568.9,1568.9,1698.56,1700.56,1701.56,1703.41,1718.53,1725.41,1775.66,1808.3,1885.99,1930.4,1952.79,2038.5,2086.19,2116.19
Botswana,,,,,,,,,,0.02,0.14,0.17,1.62,1.72,1.86,2.15,3.28,3.42,3.72,5.92,5.92,6.3,6.29,6.29
Brazil,63742.15,65094.48,67165.09,70418.07,72235.92,74429.24,77617.04,81220.04,82998.06,84930.09,89558.13,92917.65,96117.44,99835.22,106445.45,112645.57,121378.13,128425.29,136612.59,144657.52,150684.89,161482.97,176709.26,194084.68
British Virgin Islands,,,,,,,,,,,0.52,0.52,0.52,0.52,0.55,1.26,1.43,1.43,1.44,1.79,2.04,2.29,2.32,3.33
Brunei Darussalam,,,,,,,,,,,1.2,1.2,1.2,1.2,1.21,1.21,1.21,1.22,1.22,1.22,1.45,4.87,4.9,5.04
Bulgaria,1068.0,893.0,1136.0,1658.0,1992.0,1999.0,2017.0,2048.03,2240.1,2481.0,2707.0,2950.0,3930.0,4095.0,4123.0,4136.0,4145.0,4288.64,4316.41,4318.73,4363.52,4531.64,5015.3,6215.3
Burkina Faso,32.0,32.0,32.0,32.0,32.11,32.11,32.11,32.11,32.11,32.11,32.21,32.27,32.83,33.49,33.97,38.25,38.67,73.75,89.2,90.93,91.42,92.2,122.8,214.41
Burundi,54.25,54.25,54.25,54.25,54.25,54.25,54.25,54.25,54.25,54.25,54.25,54.75,55.16,55.17,55.18,55.48,56.27,54.15,54.16,54.2,54.34,61.3,76.15,76.15
Cabo Verde,,,2.1,2.68,2.4,2.4,2.1,2.1,2.1,2.1,7.3,22.5,32.77,32.77,32.77,33.16,33.26,33.42,37.61,40.97,41.78,43.99,49.84,52.84
Cambodia,10.09,10.19,12.28,12.33,13.36,13.61,18.17,19.92,23.78,26.52,27.15,229.71,280.27,735.93,997.71,999.78,1003.88,1087.13,1447.97,1543.2,1728.02,1788.48,2228.58,2348.4
Cameroon,719.0,719.0,719.0,719.1,719.11,719.11,719.13,719.23,719.23,719.08,723.11,728.34,728.35,732.36,732.36,732.43,732.45,743.68,743.94,825.21,826.08,838.75,840.31,876.31
Canada,69051.16,68772.16,71076.77,72669.07,73214.13,74505.77,76125.77,77196.42,78645.39,79907.89,81183.78,83323.37,84672.35,86877.16,89772.72,95972.62,97881.0,99131.3,100742.55,101327.56,101811.96,103807.96,106358.56,108718.49
Cayman Islands,,,,,,,,,,,,,,,,,2.75,8.77,10.72,11.99,13.64,14.6,14.6,14.9
Central African Republic (the),18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.95,18.95,19.06,19.12,19.15,19.15,19.19,19.19,19.18,44.18
Chad,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.05,2.05,2.17,3.28,3.29,3.66,3.66,4.21,4.69,4.74,4.74
Chile,4452.0,4451.0,4479.0,4500.78,5323.78,5344.78,5350.78,5494.78,5622.0,6105.77,6160.97,6699.17,7054.2,7586.08,8272.13,8413.43,9177.28,10317.87,10976.28,11556.23,13087.12,15098.77,18346.47,21486.65
China,75851.52,79266.02,83252.53,92384.6,103006.6,115016.2,128845.2,146709.0,174342.75,205232.5,233256.96,267897.81,302101.03,359515.82,414650.5,479103.41,541015.68,620855.7,695463.18,758869.78,896411.97,1017851.73,1156126.49,1453701.25
Chinese Taipei,2085.15,2179.6,2293.48,2272.9,2287.34,2316.09,2406.0,2507.69,2591.94,2718.77,2885.91,3086.91,3279.64,3501.49,3750.51,4014.99,4411.19,4944.14,5939.55,7480.22,9247.82,11239.87,13816.65,17600.37
Colombia,8355.27,8763.22,9123.04,8942.66,9026.88,9039.21,9060.97,9104.73,9110.27,9130.84,9237.36,9918.1,9978.57,10074.55,11134.28,11757.31,11888.37,12070.94,12193.93,12287.73,12384.04,12499.69,13404.81,14298.15
Comoros (the),,,0.61,0.61,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,2.25,2.59,2.59,2.61,2.6,1.81,5.48,5.48
Congo,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,206.2,206.22,206.22,206.22,212.74,226.16,226.16,226.16,226.62,226.67,226.74,226.74
Cook Islands (the),0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.71,1.67,2.9,3.01,3.01,4.83,5.57,5.57,5.57,5.57,5.57
Costa Rica,1424.86,1444.71,1490.28,1543.78,1562.33,1566.08,1674.0,1760.34,1784.23,1840.39,1883.41,2039.77,2113.66,2141.72,2298.37,2489.96,2917.95,2982.2,3082.14,3144.96,3124.4,3183.05,3138.53,3197.3
Croatia,2070.0,2070.0,2057.0,2067.0,2080.0,2076.0,2087.0,2085.0,2087.5,2157.8,2217.8,2273.8,2331.5,2474.5,2576.6,2713.4,2793.4,2915.7,2978.9,3068.2,3254.6,3490.1,3585.1,3979.8
Cuba,817.8,872.3,539.8,630.2,428.8,639.6,408.0,503.35,527.65,525.45,536.55,534.45,507.65,464.1,494.56,536.66,517.86,593.83,668.2,602.81,772.03,810.51,789.65,802.15
Curaçao,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,30.13,33.13,37.73,40.13,41.13,57.63,58.43,58.43,59.73,59.73,59.73,59.86
Cyprus,,,,,1.23,1.23,1.23,2.23,9.23,12.23,97.23,153.23,173.23,192.23,221.23,243.73,251.73,277.52,288.92,321.7,399.58,485.18,595.24,777.64
Czechia,1048.59,1094.59,1101.09,1109.4,1161.4,1182.09,1237.84,1369.26,1504.0,2046.1,3399.5,3680.5,3997.5,4095.0,4169.9,4214.4,4212.4,4277.88,4270.85,4374.77,4451.02,4551.88,4733.84,4822.44
Côte d'Ivoire,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.0,604.01,604.28,604.45,880.01,881.1,883.21,885.4,886.75,888.0,925.5
DR Congo,2398.16,2413.16,2413.16,2418.16,2418.16,2418.16,2418.16,2418.16,2417.16,2417.16,2417.16,2417.18,2417.25,2417.55,2418.42,2418.52,2433.77,2447.63,2609.09,2620.24,2625.05,2628.37,2957.78,3197.78
Democratic People's Republic of Korea (the),4592.5,4792.53,4812.54,4812.76,4812.84,4812.86,4812.92,4942.96,4488.21,3919.37,3959.69,3962.47,4263.33,4290.19,4305.21,4491.22,4734.88,4799.14,4841.77,4856.8,4946.07,4969.07,5007.62,5021.29
Denmark,2643.02,2809.65,3310.53,3644.42,3829.71,3943.84,3813.2,3644.71,3953.37,4434.59,4915.78,5123.35,5948.87,6583.6,6749.77,7109.4,7409.93,8193.72,8902.07,9180.11,9656.31,10866.67,12166.96,13024.06
Djibouti,,,,,,,,,,,,,,0.3,0.3,0.3,0.36,0.36,0.36,0.36,0.36,20.36,20.36,80.36
Dominica,7.68,7.68,7.69,7.69,7.7,7.7,7.72,7.78,5.19,5.2,7.09,7.09,7.1,7.1,7.1,7.1,7.5,7.5,7.19,7.19,7.19,7.19,7.19,7.19
Dominican Republic,489.66,500.16,560.26,560.67,560.67,486.38,487.28,487.28,490.3,541.33,541.35,575.18,692.63,696.69,706.7,742.27,840.08,924.05,1070.98,1411.12,1461.84,1660.14,1859.62,2201.24
Ecuador,1714.62,1737.82,1745.81,1745.93,1780.83,1828.35,1874.54,2133.3,2165.55,2168.47,2346.13,2338.15,2367.67,2387.99,2439.94,2598.59,4640.28,4715.14,5266.74,5276.74,5298.09,5300.17,5393.72,5447.53
Egypt,2927.1,2927.5,2927.6,2928.4,3004.4,3004.4,3089.4,3169.5,3262.9,3308.3,3437.0,3457.0,3457.0,3457.0,3457.0,3658.0,3681.0,3802.0,4793.2,5689.7,5933.5,6257.5,6321.5,6709.0
El Salvador,601.79,602.91,635.41,658.26,659.26,693.16,709.4,801.2,799.22,799.22,790.02,812.37,807.53,827.83,830.58,914.94,970.79,1159.11,1251.74,1491.12,1594.31,1675.48,1705.6,1745.2
Equatorial Guinea,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,125.6,125.6,125.6,125.6,125.76,125.95,127.49,127.48,127.47,127.33,127.15,127.15
Eritrea,,,,,,,,0.83,0.83,0.83,0.83,0.83,0.85,0.86,8.68,8.68,9.84,24.18,26.69,26.74,26.73,25.95,25.61,25.61
Estonia,7.0,7.0,10.0,18.0,22.0,48.0,48.0,67.0,94.0,171.1,256.1,334.2,441.38,518.5,561.34,593.5,607.0,615.1,608.55,715.5,828.67,1011.77,1140.0,1532.0
Eswatini,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,123.7,123.7,123.7,185.2,185.2,185.2,168.2,168.23,168.33,168.33,168.33,168.34,168.38,178.38,178.36,178.36
Ethiopia,405.65,477.65,477.65,511.65,721.65,721.65,721.65,721.65,721.65,1441.68,1901.69,2080.11,2080.93,2224.32,2230.11,2618.87,2649.03,4366.08,4450.93,4450.93,4712.77,4758.77,5588.77,5545.07
Falkland Islands (Malvinas),0.26,0.26,0.26,0.26,0.26,0.26,0.26,1.25,1.33,1.33,2.32,2.32,2.32,2.32,3.31,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38
Faroe Islands,31.75,31.75,31.75,33.73,33.73,35.71,35.71,35.71,35.71,35.71,35.71,35.71,47.91,47.91,59.61,59.91,59.61,59.61,56.05,52.71,59.43,64.26,64.26,64.26
Fiji,108.55,108.59,108.62,108.66,115.14,115.2,127.33,137.51,146.54,146.56,146.65,146.69,191.34,190.91,191.47,198.45,200.45,214.96,215.53,215.62,215.97,223.96,224.41,225.57
Finland,4462.0,4619.0,4660.0,4784.0,4861.0,4926.0,4959.0,5067.0,5007.0,4931.0,5011.0,5166.0,5213.0,5516.0,5747.0,6142.0,6746.0,7512.0,7563.0,7890.0,8774.0,9564.0,12709.0,14093.0
France,23987.0,24069.0,24313.5,24426.5,24508.5,24881.0,25650.5,26542.0,27800.5,29292.5,31716.5,35000.07,37324.97,38916.56,40732.69,43024.19,45058.84,48036.49,50687.17,53543.56,55847.28,59700.13,64692.35,67916.35
French Guiana,115.8,115.8,115.8,115.8,115.8,115.92,115.92,115.96,116.07,116.93,139.62,157.05,157.75,158.01,158.36,173.16,173.16,173.22,173.22,179.04,180.2,180.49,180.53,180.53
French Polynesia,48.08,48.23,48.36,48.55,48.79,49.08,49.39,49.69,50.24,50.54,50.56,58.66,61.84,66.76,73.16,77.16,79.56,82.68,85.98,90.0,93.52,94.58,101.57,102.32
Gabon,170.58,170.58,170.58,170.58,170.58,170.58,170.58,170.58,170.58,170.6,170.6,170.6,170.6,330.63,330.63,331.84,331.85,331.86,331.87,331.88,331.87,332.27,332.29,332.29
Gambia (the),,,,,,,0.05,0.07,0.07,0.22,0.33,0.33,1.24,1.33,1.6,1.72,2.19,2.5,2.54,3.04,3.03,3.02,2.94,2.94
Georgia,2560.74,2560.74,2560.74,2560.74,2560.74,2560.74,2584.74,2704.01,2713.26,2718.16,2598.0,2598.0,2645.0,2663.0,2800.0,2802.0,3180.39,3133.53,3241.01,3323.8,3348.72,3393.37,3420.37,3524.66
Germany,11806.5,14827.5,18361.5,21658.0,24875.7,28475.2,32218.7,35427.0,38448.0,47233.5,56545.0,67421.0,78149.5,83766.0,90325.0,97851.0,104435.5,112514.0,118904.5,125068.0,131686.0,139076.5,149143.0,166939.0
Ghana,1077.77,1077.77,1077.77,1077.77,1185.77,1185.77,1184.1,1184.1,1186.77,1186.77,1186.77,1186.77,1186.77,1589.91,1595.91,1624.62,1628.92,1634.7,1664.71,1675.55,1700.34,1757.91,1761.44,1761.44
Greece,3299.0,3369.0,3388.0,3473.0,3594.0,3622.0,3912.0,4044.0,4250.0,4458.0,4756.0,5521.0,6570.0,7672.0,8010.0,8138.0,8424.0,8685.61,9019.56,9922.67,10921.37,12456.06,13680.94,15804.94
Greenland,30.58,30.58,30.58,30.58,31.78,31.78,31.78,39.38,54.38,54.38,69.38,69.38,91.88,91.88,91.88,91.88,91.88,91.88,92.07,92.07,92.27,92.52,92.61,93.06
Grenada,,,,,,,,,0.15,0.19,0.26,0.35,0.39,0.6,0.78,1.1,2.27,2.36,2.74,3.35,3.68,3.73,3.73,3.86
Guadeloupe,47.31,50.61,53.51,59.52,59.79,70.85,74.14,78.17,82.1,88.14,101.8,134.39,145.4,147.2,146.12,150.36,151.38,155.91,174.73,190.89,205.69,217.88,225.04,225.03
Guam,,,,,,,,,,0.05,0.09,0.14,0.32,0.81,1.44,31.95,34.92,36.58,38.35,40.01,41.66,43.31,104.96,105.07
Guatemala,722.56,749.81,852.56,878.47,965.9,1072.24,1129.98,1181.03,1234.0,1236.09,1342.5,1420.98,1573.33,1653.18,1792.54,2183.29,2602.91,2691.26,2839.94,2870.38,2870.83,2699.59,2704.89,2710.69
Guinea,128.22,128.22,128.22,128.22,128.22,128.22,128.22,128.22,128.22,128.22,128.22,128.22,130.24,129.33,129.33,369.33,369.49,369.69,382.2,378.31,603.93,829.26,830.36,830.36
Guinea-Bissau,,,,,,,,,,0.0,0.01,0.02,0.02,0.07,0.12,0.19,0.7,0.95,1.83,1.82,1.76,2.05,1.81,1.81
Guyana,21.95,22.11,22.26,22.42,22.08,22.24,22.4,22.56,22.77,52.94,53.18,54.1,54.31,54.51,54.72,55.28,46.02,47.93,50.47,52.82,53.12,53.62,55.23,59.6
Haiti,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.3,56.84,56.87,57.44,57.7,57.88,58.25,58.52,59.05,80.92,80.97,80.89,80.99,81.21,81.9
Honduras,444.5,444.7,486.88,500.31,521.36,550.95,565.55,604.71,599.01,608.89,623.84,728.79,784.53,791.53,923.54,1359.11,1481.22,1614.11,1698.15,1746.34,1865.36,1881.1,1941.2,1941.2
Hong Kong SAR,,,,,,,,,,,,,,,0.5,0.5,17.11,46.92,46.92,142.56,144.56,148.9,244.46,250.81
Hungary,66.0,67.0,107.5,113.5,257.5,421.0,432.5,456.4,582.0,766.0,862.0,890.0,724.0,749.0,1024.0,1076.5,1048.0,1224.0,1629.5,2287.5,3024.0,3905.5,5154.5,6757.5
Iceland,1236.0,1311.0,1357.0,1357.0,1366.0,1396.0,1586.5,2244.5,2455.5,2451.5,2458.0,2549.0,2542.64,2651.92,2653.14,2657.54,2658.53,2711.47,2861.96,2869.42,2879.38,2879.49,2879.64,2879.64
India,24999.99,26666.71,26830.89,30260.8,33189.27,36363.52,40619.21,43416.03,47174.23,48255.43,52262.39,58058.8,60459.21,63591.72,71892.15,78582.37,90414.41,105257.67,118226.85,128474.78,134774.29,147389.55,163212.81,175933.99
Indonesia,5475.45,4654.4,4697.63,4731.09,4778.26,5343.38,5682.9,5793.35,5872.56,6702.16,6856.59,7147.71,7489.93,8261.24,8417.63,8574.67,9064.82,9459.49,9804.41,10299.86,10461.91,11537.33,12603.23,13331.78
Iran,2010.0,2010.01,3040.01,4436.01,5036.94,6080.44,6619.08,7485.11,7735.11,7808.03,8588.05,8850.32,9858.24,10380.28,10953.72,10411.38,10782.71,11367.04,11637.94,11803.46,11901.11,11930.18,12398.8,12653.34
Iraq,670.0,670.0,360.0,460.0,1570.0,1622.0,1985.0,2033.0,2273.0,2274.34,2274.34,2274.34,2274.34,2303.84,2310.84,2310.84,2310.84,1593.84,1594.42,1594.42,1594.42,1594.42,1598.92,1598.92
Ireland,367.5,375.9,389.8,465.3,593.4,747.3,937.5,1003.15,1210.4,1521.38,1664.73,1867.87,1999.84,2228.18,2592.88,2762.58,3122.28,3687.6,4066.87,4566.91,4802.76,4911.33,5169.66,5889.39
Israel,6.61,6.61,12.61,12.61,12.61,13.61,13.91,16.54,23.74,50.24,98.79,218.59,308.89,472.89,685.74,836.99,968.24,1068.24,1408.24,2200.24,2711.28,3650.28,4579.28,4872.38
Italy,17903.5,18293.0,18729.0,19173.0,19464.5,20250.5,20633.5,21599.5,23154.5,25772.21,29507.44,40823.77,46720.72,48857.22,49526.22,50417.27,51195.27,52128.45,53160.58,54373.05,55492.53,56855.72,59479.07,65157.07
Jamaica,55.23,54.83,53.73,53.73,74.63,74.63,75.03,75.23,75.43,76.33,97.83,98.33,98.63,106.14,108.14,110.54,191.64,219.64,219.64,271.14,271.14,271.14,271.19,273.74
Japan,23759.0,29292.5,29642.0,30394.0,31090.5,32047.0,33221.5,32915.0,33428.5,34146.0,36047.0,37419.5,38414.0,45501.5,55520.0,66904.5,75563.0,83597.5,90722.5,98684.5,107935.0,115170.0,122922.0,128782.0
Jordan,14.42,14.42,14.42,14.42,14.42,14.42,16.92,16.92,16.92,16.92,16.92,16.94,16.97,17.04,17.14,200.17,514.49,634.94,1073.69,1373.59,2088.49,2459.54,2596.54,2620.54
Kazakhstan,2260.0,2260.0,2260.0,2260.0,2263.0,2249.0,2251.0,2251.0,2263.0,2265.0,2273.0,2274.0,2575.5,2592.8,2733.6,2806.71,2851.39,2898.48,3087.68,3605.8,4190.44,4536.38,5068.8,5663.0
Kenya,776.81,776.82,779.82,779.82,849.83,849.98,849.98,850.0,910.16,976.26,1033.35,1033.22,1087.69,1099.71,1271.04,1560.22,1628.93,1670.97,2058.54,2085.17,2297.4,2471.84,2660.04,2735.84
Kiribati,0.06,0.06,0.06,0.06,0.2,0.24,0.25,0.26,0.29,0.28,0.41,0.44,0.48,0.52,0.77,2.33,2.88,2.88,3.21,3.21,3.21,3.21,3.21,3.21
Korea,1620.5,1664.5,1676.5,1681.0,1680.0,1847.0,1931.5,1983.0,2373.5,2590.5,2802.5,3066.5,3475.2,4343.7,5707.7,7075.7,9162.7,11173.2,13443.5,17620.5,22092.0,24421.5,27270.5,30504.02
Kosovo,32.0,32.0,32.0,32.0,32.0,32.0,40.0,40.0,40.0,40.0,43.0,44.0,44.0,44.0,44.0,44.1,81.22,120.72,120.72,138.86,153.88,158.03,192.5,266.9
Kuwait,,,,,,,,,,,,0.01,0.01,2.51,5.95,7.08,24.41,25.32,46.38,96.66,96.66,96.66,114.06,114.06
Kyrgyzstan,2943.4,2943.4,2943.4,2943.4,2943.4,2943.4,2943.4,2944.2,2944.2,2944.2,3064.2,3071.5,3071.5,3571.5,3670.9,3676.5,3676.78,3688.6,3673.1,3673.1,3673.6,2780.4,2780.4,3209.78
Lao PDR,679.64,680.84,681.03,681.18,681.41,722.78,722.8,722.8,722.9,1873.91,2588.96,2593.66,3002.66,3048.33,3333.19,4434.99,4911.38,5150.25,5537.56,6381.36,8181.57,9138.21,9828.21,9938.77
Latvia,1515.0,1526.0,1557.0,1570.0,1571.0,1572.0,1572.0,1572.0,1574.0,1575.0,1622.0,1642.0,1701.0,1760.51,1777.72,1781.86,1777.79,1796.14,1803.54,1825.78,1825.86,1823.27,1927.03,2193.83
Lebanon,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.33,282.47,284.79,287.86,291.76,297.98,317.98,330.71,346.92,368.08,381.84,481.84,1166.89,1296.89
Lesotho,75.42,75.42,75.42,74.75,74.75,74.75,72.75,72.75,72.75,72.75,72.75,72.75,74.75,74.62,74.62,74.62,74.62,74.62,74.55,74.78,74.79,74.75,74.92,102.92
Liberia,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.88,4.88,4.95,5.04,5.06,27.35,93.8,94.18,94.62,95.51,95.83,96.45,96.45
Libya,,,,0.2,0.7,1.2,1.7,2.2,2.7,3.2,3.7,4.2,4.9,4.9,4.9,4.9,4.9,5.11,5.11,5.11,5.11,6.33,6.33,8.33
Lithuania,103.0,105.0,107.0,113.0,116.0,123.0,163.0,184.0,193.1,238.1,278.1,351.3,451.0,527.0,545.0,693.0,767.5,787.25,836.0,859.0,937.0,1158.5,1753.0,2785.0
Luxembourg,53.0,53.85,56.2,76.26,100.93,100.98,102.4,102.63,113.19,116.38,126.38,139.0,186.95,210.98,225.4,238.78,300.72,318.06,323.96,385.98,430.0,504.32,571.53,781.53
Madagascar,105.63,105.63,105.63,105.68,105.59,105.59,105.6,105.64,120.64,121.02,129.1,129.22,162.6,162.78,163.53,164.53,165.39,166.04,186.32,187.62,188.71,188.58,242.98,243.54
Malawi,326.31,326.31,326.31,326.31,326.31,326.16,326.16,326.16,326.16,326.16,326.16,326.29,326.33,392.03,392.11,392.51,394.12,394.74,395.2,395.62,397.59,477.42,519.45,519.45
Malaysia,2761.02,2750.03,2787.03,2801.03,2801.04,2756.05,2803.06,2828.51,2835.14,2840.71,2796.91,3895.33,4247.91,5718.23,6396.98,7563.08,7991.89,7339.33,7520.57,7961.93,8570.94,8906.3,9052.46,9052.46
Maldives,,,,,,0.01,0.05,0.07,1.48,1.55,1.57,1.59,2.73,3.16,5.29,6.21,8.9,12.2,17.89,22.26,28.36,32.46,37.46,38.71
Mali,55.07,55.07,255.37,255.37,255.37,255.67,255.73,255.74,255.82,255.82,256.28,256.71,260.05,324.34,325.3,327.29,328.09,365.54,366.03,367.07,417.53,448.54,592.95,592.95
Malta,,,,,,0.1,0.1,0.1,0.2,0.9,0.8,8.3,18.8,31.6,57.7,77.9,98.26,116.42,136.55,159.85,192.56,210.13,225.38,233.94
Marshall Islands (the),0.04,0.04,0.04,0.04,0.07,0.07,0.07,0.07,0.15,0.27,0.32,0.33,0.42,0.6,1.03,1.03,1.64,1.7,1.71,1.71,1.71,1.71,1.78,1.85
Martinique,,,2.25,2.25,3.35,3.35,5.85,7.35,10.65,17.55,29.75,51.35,63.35,65.35,65.85,69.55,71.05,72.85,115.75,133.51,135.4,139.69,139.98,146.14
Mauritania,,,,,,,,,,,,,4.4,22.4,22.55,52.57,69.17,69.17,121.25,121.91,121.91,121.91,123.41,259.78
Mauritius,111.12,121.07,120.07,118.75,118.75,202.5,126.75,137.4,130.45,163.77,164.45,154.47,142.06,145.61,145.87,171.87,188.07,195.18,236.97,261.78,270.16,272.15,270.13,270.13
Mayotte,,,,,,,,,0.51,1.81,8.34,12.44,13.07,13.14,13.24,13.33,13.33,15.15,15.73,16.81,18.57,30.03,30.03,31.23
