Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,0.0,1.2,0.87,0.3,0.0,0.0,100.0,149.0
Malaysia,0.21,0.0,0.0,-0.21,0.0,0.0,0.45,0.09,0.0,0.0,0.0,31.04,107.09,66.72,60.9,77.86,49.81,151.3,348.5,589.19,304.18,146.1
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.18,1.12,1.84,3.16,3.5,5.0,16.9,88.7,87.07,187.1,140.0
Cyprus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,7.0,18.0,29.0,12.0,8.0,26.05,8.43,32.78,77.87,85.39,116.48
Norway,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.4,0.4,0.4,0.5,1.0,2.0,2.0,11.7,18.2,23.5,51.43,39.99,45.51,116.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,41.0,33.0,74.0,0.0,6.3,3.1,109.1
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.54,52.02,0.24,1.5,150.2,332.7,369.9,126.01,108.62
Tunisia,0.13,0.11,0.06,0.04,0.01,0.02,0.01,0.1,0.08,0.41,1.09,2.67,3.97,7.53,10.48,10.51,9.02,16.67,16.3,14.84,0.0,102.19
Sri Lanka,0.6,0.68,0.68,0.68,0.68,0.68,0.68,0.66,0.68,0.68,2.12,0.08,3.36,9.86,14.44,42.73,76.84,74.2,119.97,80.72,193.0,90.0
Kenya,0.13,0.0,0.0,-0.13,0.0,0.0,0.01,0.15,0.02,0.02,1.24,1.96,4.02,9.5,14.33,5.18,9.92,60.01,20.41,19.86,70.77,89.57
"China, Hong Kong SAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88.0,2.0,4.34,89.46
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,14.92,3.78,29.4,95.6,89.1
Indonesia,0.48,0.32,0.37,-0.18,0.06,0.83,3.48,3.8,3.94,1.14,2.41,9.43,11.96,3.27,36.91,9.86,8.99,-31.94,89.57,30.29,39.71,87.84
Panama,0.17,0.09,0.14,0.0,0.11,0.08,0.19,0.26,0.25,0.34,0.53,0.59,0.72,2.4,43.2,43.7,53.7,41.39,30.67,10.44,235.67,85.82
Serbia,0.0,0.0,0.0,0.0,0.67,0.26,0.0,1.4,0.68,0.29,0.37,3.4,2.65,3.71,2.4,1.41,1.15,2.38,2.68,7.06,21.33,85.16
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.22,1.5,1.6,3.2,4.0,13.5,20.4,50.9,19.0,45.3,111.2,60.4,154.5,84.6
Iran (Islamic Republic of),0.0,0.0,0.0,0.04,0.0,0.04,0.03,0.0,0.06,0.22,0.06,0.0,0.54,8.39,0.0,33.83,141.27,101.9,59.5,83.89,26.09,83.52
Cambodia,0.09,0.1,0.05,0.03,0.18,0.15,0.87,0.34,0.24,0.06,1.7,0.79,1.19,3.31,3.0,6.17,11.11,-0.56,95.09,190.96,60.64,79.92
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,13.0,15.0,16.0,18.0,20.0,24.0,29.0,47.0,65.6
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.05,0.18,0.49,0.63,30.51,2.7,1.65,1.78,1.65,1.65,1.65,61.65
Egypt,0.4,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.4,13.7,20.0,0.0,0.0,0.0,1.0,23.0,121.0,584.2,883.0,-4.2,19.5,61.5
