Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,9.93,12.34,14.53,17.93,19.74,22.16,24.41,26.0,26.99,31.13,34.72,38.22,43.8,45.2,45.73,48.14,50.16,52.25,51.97,54.03,56.34,57.32,59.58,63.28
Sri Lanka,62.29,57.88,51.16,49.08,48.19,53.68,54.13,54.28,51.55,51.83,50.9,46.52,49.87,52.32,45.3,47.33,48.5,49.79,51.58,51.54,52.95,57.63,61.43,62.93
Romania,37.88,37.29,36.86,36.87,36.98,33.19,32.68,32.31,32.67,32.78,34.3,36.34,38.58,44.22,46.91,47.27,47.56,47.5,47.65,53.73,54.32,59.51,60.2,62.23
Spain,33.29,34.43,34.57,35.3,35.39,34.38,34.92,36.04,39.11,41.14,41.51,42.77,44.18,44.21,44.06,44.69,45.12,46.17,46.52,49.78,52.91,55.86,60.25,62.21
Ecuador,51.14,54.04,49.7,49.68,50.16,49.13,46.11,47.64,47.66,46.01,45.67,45.13,43.41,43.45,42.57,43.27,56.41,58.57,60.8,60.76,60.82,60.34,61.12,61.2
Greece,30.25,30.65,29.27,28.75,28.91,27.22,28.83,29.55,29.82,30.48,31.06,33.41,37.01,40.69,42.39,42.96,43.96,44.71,46.06,48.46,52.52,56.8,57.15,60.64
South Georgia and the South Sandwich Islands,4.41,4.41,4.41,4.41,4.41,4.41,4.41,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,58.86,60.49
El Salvador,55.7,50.59,55.94,54.99,55.03,56.27,54.03,55.77,55.44,53.62,53.33,54.03,54.12,52.19,52.28,54.74,56.2,60.28,62.31,65.91,67.4,68.48,59.75,60.3
Burundi,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,77.94,78.06,72.91,72.91,73.02,73.3,51.74,51.75,51.77,51.83,54.83,60.13,60.13
Democratic People's Republic of Korea,60.81,61.82,61.92,61.92,61.92,61.52,61.52,62.15,59.86,56.56,56.81,57.24,59.02,59.17,59.26,60.27,61.53,61.85,59.03,59.11,59.55,59.66,59.7,59.63
Finland,27.37,27.9,28.04,28.79,29.21,29.76,29.81,30.17,32.11,32.2,32.23,32.94,33.05,32.98,35.26,36.84,41.2,43.55,43.95,44.98,50.16,52.6,60.86,59.46
Netherlands,3.74,4.11,4.95,6.16,6.68,7.5,8.68,9.75,11.4,11.39,11.36,11.38,11.64,13.7,14.69,18.15,21.67,24.12,28.33,34.1,43.41,49.05,54.37,59.14
Cambodia,5.59,5.63,6.72,6.58,7.02,5.87,6.04,6.29,6.1,6.99,7.38,39.25,45.63,61.69,64.08,58.56,57.78,55.85,63.9,61.2,56.43,58.01,56.89,58.01
Fiji,46.48,52.44,52.45,52.45,53.89,50.18,52.68,54.59,56.16,56.16,56.18,56.18,62.58,61.26,61.33,56.51,56.76,58.46,58.53,55.68,55.71,56.61,56.66,56.78
Viet Nam,51.12,50.22,47.37,45.36,35.32,34.63,35.85,37.65,40.06,38.0,34.21,36.66,43.66,45.71,46.69,43.66,43.77,41.67,41.08,47.69,55.79,56.21,56.69,55.57
Cameroon,87.59,87.69,80.57,80.47,79.58,79.14,77.02,75.41,74.21,68.21,69.58,70.8,64.53,56.2,56.2,53.94,53.94,51.69,51.48,54.06,54.09,54.42,54.46,55.5
Türkiye,41.4,41.6,38.81,35.67,34.65,33.53,32.62,33.44,34.26,34.69,35.07,36.07,38.87,39.91,40.19,43.09,43.88,45.48,47.69,48.64,51.3,53.3,53.92,55.0
Tuvalu,0.17,0.17,0.17,0.17,0.17,0.17,0.11,0.11,0.86,4.95,4.95,5.0,5.0,6.12,6.12,40.69,53.67,53.75,53.83,53.83,54.33,54.33,54.33,54.98
Belgium,1.48,1.79,1.93,2.61,2.93,4.9,5.41,6.03,7.12,11.31,16.24,20.29,24.57,27.48,28.61,30.08,31.3,33.57,36.52,39.76,43.88,45.34,49.06,54.56
Gabon,49.62,49.62,49.85,49.22,49.22,49.5,49.22,44.82,45.54,45.66,43.02,42.69,37.86,54.77,55.23,55.17,52.88,53.45,54.29,54.29,54.29,54.32,54.32,54.32
Estonia,0.25,0.29,0.42,0.74,0.82,1.88,1.88,2.55,3.49,6.42,9.31,11.83,15.1,17.81,18.51,20.73,23.55,24.2,21.59,26.06,30.27,42.0,44.83,53.94
Mali,20.93,20.93,55.11,55.11,55.11,55.14,55.15,54.21,57.25,55.33,52.77,46.9,47.17,49.33,48.03,47.82,43.89,44.32,44.37,43.8,46.41,47.96,53.78,53.78
Lithuania,1.8,1.84,1.87,1.97,2.02,2.7,3.55,3.99,4.15,5.05,7.79,9.52,10.64,12.19,13.5,19.32,20.94,23.67,24.93,25.43,26.84,31.23,40.76,52.51
