Region/country/area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Eswatini,0.0,0.010000000000005116,0.03999999999999204,0.07000000000000739,0.030000000000001137,0.06999999999999318,19.83,0.030000000000001137,0.3400000000000034,61.620000000000005,0.020000000000010232,0.01999999999998181,-16.97999999999999,0.030000000000001137,0.09999999999999432,0.0,0.0,0.0,0.0,10.0,0.0
Ethiopia,0.0,34.0,210.0,0.0,0.0,0.0,0.0,720.0300000000001,460.01,178.42000000000007,0.819999999999709,143.39000000000033,5.789999999999964,388.75999999999976,30.16000000000031,1717.0499999999997,84.85000000000036,0.0,261.84000000000015,46.0,830.0
Gabon,0.10000000000002274,0.0,0.0,0.0,0.09999999999999432,0.0,0.19999999999998863,1.0,0.0,0.0,0.0,160.00000000000003,0.0,1.1999999999999886,0.08999999999997499,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,0.060000000000000005,0.13999999999999999,0.18000000000000002,0.26,0.07999999999999996,0.43999999999999995,0.24,0.3700000000000001,0.1499999999999999,0.07999999999999985,1.0300000000000002,0.040000000000000036,0.23999999999999977,0.06000000000000005,0.010000000000000231,0.0,0.0,0.5,0.0,0.0,0.11999999999999966
Ghana,0.0,0.0,0.0,0.0,-1.6700000000000728,0.0,2.6700000000000728,0.0,0.0,0.0,0.0,403.0,3.2899999999999636,29.779999999999973,3.8700000000001182,5.0,26.639999999999873,6.430000000000064,23.019999999999982,2.9700000000000273,0.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999943,0.0,0.0,2.0200000000000102,-1.509999999999991,0.0,239.99999999999997,0.160000000000025,0.19999999999998863,0.3100000000000023,-4.310000000000002,225.60999999999996,225.33000000000004,-0.22000000000002728
Guinea Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.8599999999999999,0.0,0.0,0.0,0.0
Kenya,3.0,0.0,69.88999999999999,0.05000000000006821,0.0,0.009999999999990905,60.16999999999996,66.10000000000002,56.08000000000004,1.240000000000009,54.47000000000003,12.069999999999936,171.14999999999986,296.18000000000006,68.70000000000005,42.049999999999955,386.0500000000002,26.109999999999673,216.62000000000035,172.76999999999998,183.76999999999998
Lesotho,0.0,-0.6700000000000017,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.35999999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999716,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,0.03000000000000025,0.009999999999999787,0.040000000000000036,0.020000000000000462,22.060000000000002,68.42,0.1799999999999926,0.0,0.0,0.0,0.0
