Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,1153.15,1164.49,1175.21,1250.55,1284.58,1294.97,1317.79,1324.55,1345.6,1382.07,1387.49,1405.9,1589.87,1621.98,1669.97,1689.36,1727.84,1746.9,1798.45,1815.07,1799.07,1799.07,1846.07
Tajikistan,4061.0,4061.0,4061.0,4061.0,4061.0,4116.2,4116.2,4116.2,4116.2,4802.58,4802.08,4809.49,4811.41,4814.45,5034.65,5033.06,5038.76,5038.76,5153.45,5273.45,5273.16,5274.26,5274.26
Thailand,2975.8,2975.8,3535.8,3535.8,3535.8,3535.8,3535.8,3535.8,3540.8,3547.8,3547.8,3559.8,3568.2,3575.2,3608.4,3638.5,3648.52,3648.68,3667.38,3667.45,3668.8,3670.1,3670.1
Timor Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
Turkmenistan,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.2,2.2
Uzbekistan,1596.0,1596.0,1596.0,1599.0,1751.0,1709.0,1710.0,1710.0,1743.0,1742.8,1792.9,1787.9,1822.2,1822.0,1871.0,1880.4,1880.4,1857.5,1914.9,1907.5,2004.5,2052.0,2052.0
Viet Nam,3273.9,3809.0,4118.4,4170.3,4212.1,4267.1,4507.5,4910.6,5911.7,7184.8,8652.5,10080.0,13552.0,14718.0,15069.0,15905.4,17131.4,17809.4,17989.4,20326.0,20817.0,21582.0,21857.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua Barb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
