Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.3,2.97,7.47,10.44,10.62,10.62,19.09,27.09,50.59
South Africa,1248.4,1283.54,1286.7,1586.7,947.56,947.56,947.56,951.76,957.02,975.03,992.81,997.15,1002.95,1500.54,2711.26,3430.21,4651.85,6552.34,7911.4,8014.48,9522.83,10287.74,10444.74
South Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.43,0.45,0.74,0.84,0.84,1.28,14.06
Sudan,389.0,389.0,389.01,389.01,389.11,417.2,417.21,417.4,417.52,1417.88,1419.27,1420.51,1529.07,1535.67,1537.58,1540.91,1547.22,1556.8,1740.49,1761.49,1798.13,1816.86,1870.86
Tanzania,612.5,612.5,612.5,622.0,622.0,606.1,606.2,606.2,606.7,607.5,618.73,631.5,638.16,640.67,651.95,659.38,664.26,666.54,669.86,674.55,676.95,676.95,676.95
Togo,67.4,67.55,67.55,66.75,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.61,66.61,66.63,66.67,66.7,67.59,70.1,72.07,73.8,123.84,123.84
Tunisia,73.49,73.62,73.73,82.51,82.55,82.56,82.58,82.59,82.69,117.09,117.5,118.59,240.57,271.54,312.07,329.55,340.06,349.08,374.75,391.05,405.89,405.89,508.08
Uganda,260.2,260.8,301.1,301.7,302.3,318.0,320.4,322.7,422.7,438.18,463.31,464.64,615.72,746.0,765.5,781.5,783.57,827.36,907.47,1177.98,1195.23,1197.27,1222.11
Zambia,1802.26,1802.26,1802.26,1742.26,1742.26,1742.26,1742.26,1683.01,1713.41,1721.41,1935.41,1935.41,1942.41,2302.47,2302.47,2311.22,2431.25,2441.25,2442.38,2538.22,2539.22,2844.42,3303.45
Zimbabwe,729.8,729.95,749.95,749.95,749.8,749.8,749.8,749.8,833.8,834.3,835.4,853.57,854.3,860.32,861.07,875.93,880.02,886.12,1189.62,1192.88,1195.13,1209.0,1222.3
Afghanistan,191.5,191.5,191.51,191.62,191.72,192.6,195.65,196.46,207.7,212.9,241.45,244.92,289.47,293.64,298.61,302.63,349.31,371.42,370.95,380.48,379.91,387.53,492.08
Bangladesh,230.01,230.01,230.05,230.82,231.4,232.48,234.86,237.5,243.0,250.87,265.62,266.67,290.84,329.45,356.09,384.51,401.72,433.68,455.52,506.67,555.27,718.37,775.49
Bhutan,344.35,359.46,413.63,428.63,428.63,468.76,468.35,1488.45,1488.45,1488.35,1488.35,1488.35,1488.35,1488.35,1488.35,1614.95,1614.95,1614.95,1615.19,2335.19,2335.19,2335.39,2335.39
Brunei Darsm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.21,1.21,1.21,1.22,1.22,1.22,1.45,4.87,4.9
Cambodia,10.09,10.19,12.28,12.33,13.36,13.61,18.17,19.12,20.38,21.52,21.55,219.71,265.87,717.13,974.51,976.58,980.68,1061.49,1411.63,1506.72,1689.98,1748.62,1839.54
China,75851.52,79266.02,83252.53,92384.6,103006.6,115016.2,128845.2,146709.0,174342.75,205232.5,233256.96,267897.81,302101.03,359515.82,414650.5,479103.41,541015.68,620855.7,695463.18,758844.03,899624.67,1020234.18,1160798.94
China HK SAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,17.11,46.92,46.92,142.56,144.56,148.9,148.9
China Mac SAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chinese Taipei,2085.15,2179.6,2293.48,2272.9,2287.34,2316.09,2406.0,2507.69,2591.94,2718.77,2885.91,3086.91,3279.64,3501.49,3750.51,4014.99,4411.19,4944.14,5939.55,7480.22,9247.82,11239.87,13812.68
India,24999.99,26666.71,26830.89,30260.8,33189.27,36361.64,40617.33,43412.29,47170.49,48251.7,52258.92,58055.33,60455.73,63588.53,71888.68,78578.77,90411.06,105252.54,118194.95,128428.07,134454.73,147121.72,162962.64
Indonesia,5475.45,4654.4,4697.63,4731.09,4778.26,5342.93,5682.35,5792.8,5872.01,6701.61,6856.04,7147.16,7489.38,8260.69,8417.08,8574.06,9064.2,9459.04,9804.91,10299.86,10506.62,11537.33,12481.15
Japan,23930.0,29500.0,29921.5,30394.0,31090.5,32047.0,33221.5,32916.0,33428.5,34146.0,36047.0,37419.5,38996.0,46083.5,56103.0,67485.5,76219.0,84186.5,91308.5,99271.5,106858.0,111855.5,117528.0
