Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estonia,5.0,7.0,6.0,13.0,22.0,22.0,13.5,21.82,27.91,31.99,26.88,30.03,42.06,25.53,27.03,26.6,35.0,26.0,15.0,19.0,30.0,23.0,23.0
Eswatini,114.4,117.1,109.68,129.85,129.32,111.98,146.48,170.85,166.35,226.9,279.88,325.3,291.15,251.53,290.27,252.43,153.82,123.6,189.18,225.05,230.58,258.65,296.93
Ethiopia,1651.32,1997.44,2028.39,2285.47,2524.88,2837.32,3263.85,3390.6,3301.83,3529.56,4933.28,6265.05,7391.96,8342.82,6822.75,9018.88,9674.0,11753.0,12680.95,13655.0,14403.7,14942.83,14882.49
Faroe Islands,75.0,75.0,96.5,85.69,95.0,99.0,100.0,104.45,95.8,92.4,67.4,92.5,99.8,90.6,120.7,133.1,106.3,111.2,108.1,103.5,108.7,100.3,130.9
Fiji,419.14,468.28,455.53,347.8,371.38,342.44,344.87,513.87,500.33,465.06,418.0,461.45,529.16,527.9,401.35,406.33,495.96,491.65,567.24,559.92,558.7,548.38,598.66
Finland,14660.0,13205.0,10776.0,9591.0,15069.62,13784.0,11493.69,14177.21,17112.13,12686.03,12921.99,12445.04,16859.13,12838.6,13397.04,16768.7,15799.13,14771.47,13301.1,12420.48,15883.34,15791.13,13491.76
France,64779.97,72622.3,58878.23,57352.13,58041.17,50139.15,54877.95,55989.95,62158.52,55494.55,61202.19,45743.86,59830.63,71920.43,63772.63,55556.27,60839.21,50001.26,65111.43,56913.55,62593.58,59615.94,45521.13
French Guiana,409.6,423.35,423.35,343.6,417.6,432.6,545.6,504.6,507.6,356.6,466.6,468.6,560.6,494.6,504.6,497.6,439.91,568.49,540.43,413.6,437.2,586.12,595.99
French Polynesia,147.58,154.24,119.4,123.55,155.58,147.1,159.83,174.28,157.66,154.53,211.0,175.0,160.0,152.0,166.95,167.01,184.0,176.39,164.94,160.34,161.24,144.18,191.99
Gabon,1172.79,1172.88,1236.23,1249.52,788.52,804.09,862.67,899.07,966.31,945.11,908.07,840.99,909.07,936.7,794.94,919.08,822.39,915.39,982.39,982.39,982.39,982.39,982.39
Georgia,5881.3,5535.39,6711.5,6497.2,6027.8,6030.4,5401.6,6831.17,7169.01,7417.01,9374.9,7892.46,7220.51,8271.21,8335.34,8453.76,9329.24,9210.4,9949.4,8931.7,8248.2,10182.1,10771.4
Germany,21732.0,22733.0,23124.0,18321.0,20746.0,19638.0,20031.0,21169.0,20443.0,19031.0,20953.0,17672.0,21755.0,22998.0,19587.0,18976.0,20546.0,20150.0,17693.0,19731.0,18721.0,19657.0,17625.0
Ghana,6609.7,6608.54,5035.85,3885.2,5279.71,5628.73,5618.57,3726.97,6196.14,6877.22,6995.41,7560.87,8070.65,8232.77,8386.62,5844.3,5561.15,5615.51,6017.37,7251.56,7293.22,7520.82,8191.84
Greece,3693.0,2097.0,2800.0,4766.0,4672.01,5017.27,5865.08,2591.42,3312.29,5352.56,7474.75,4011.17,4392.52,6346.92,4478.32,6098.19,5542.64,3962.55,5743.45,3999.6,3343.69,5903.47,3855.19
Greenland,178.5,164.22,178.5,187.68,195.84,206.94,199.8,208.8,207.62,265.23,296.0,338.0,344.56,377.5,396.36,422.86,400.91,388.4,417.79,408.81,430.5,432.6,466.65
Guadeloupe,10.12,7.89,16.8,15.55,25.85,23.82,18.84,19.52,20.96,21.11,15.52,14.67,13.87,19.21,26.8,21.14,34.09,37.96,40.33,44.14,25.35,11.44,12.48
Guatemala,2673.64,2264.32,2110.13,2505.0,3784.0,3799.0,3534.0,3008.0,3652.0,2920.0,3827.0,4153.0,4434.83,4630.73,4825.15,3851.79,3951.29,5765.33,5190.98,4381.13,5816.54,5960.29,6942.22
Guinea,511.0,552.0,595.0,400.0,555.0,459.87,459.87,459.87,501.44,470.39,481.72,421.51,497.73,491.69,435.24,887.02,1083.84,1212.05,1190.55,1288.62,1493.44,2644.51,2947.02
Guyana,3.19,3.32,3.59,3.87,1.23,1.5,1.77,2.04,2.31,2.59,2.86,3.13,3.4,3.67,3.95,4.08,4.08,4.08,4.09,4.11,4.12,4.12,4.12
Haiti,283.0,283.0,260.0,255.0,260.0,265.0,271.0,154.0,181.0,207.0,177.0,121.0,221.0,141.0,90.0,83.0,71.0,127.0,197.0,200.0,200.0,200.26,200.26
Honduras,2275.42,1915.15,1621.14,1740.6,1401.3,1718.0,2069.8,2214.2,2291.1,2796.6,3080.35,2805.56,2783.15,2739.37,2614.58,2358.28,2240.84,2970.08,3239.13,2420.97,2697.03,3760.18,3878.43
Hong Kong SAR,,,,,,,,,,,,,,1.28,1.71,1.71,1.71,2.85,3.07,3.08,1.51,1.51,1.51
Hungary,178.0,186.0,194.0,171.0,204.68,202.15,185.75,209.99,212.95,228.29,188.38,222.03,212.94,213.13,301.48,233.71,259.32,220.0,222.0,219.0,244.0,212.0,178.0
Iceland,6356.0,6578.0,6977.0,7088.0,7134.24,7019.29,7293.0,8393.74,12427.43,12279.34,12592.08,12506.84,12336.53,12862.84,12873.02,13780.77,13469.6,14058.72,13813.69,13461.47,13156.97,13804.0,14195.72
India,73485.37,73293.76,70306.48,65915.65,76057.77,87011.7,105041.96,114798.24,117388.26,108734.85,107176.0,119723.71,128144.59,121004.0,135864.81,130562.42,125211.3,126401.88,131693.2,144594.35,159725.84,156600.55,160573.01
Indonesia,10022.74,11666.89,9944.1,9110.1,9686.76,10740.88,9637.21,11303.93,11547.37,11405.33,17491.97,12448.31,12830.19,16962.53,15200.6,13779.85,18728.02,18682.57,21637.0,21161.0,24325.0,24697.0,27295.0
Iran,3650.0,5057.0,8050.0,11094.0,10627.0,16085.0,18169.0,17987.0,4753.0,7207.0,9523.0,12058.0,12447.0,14470.0,13862.0,14087.0,16419.0,15051.01,15765.1,31003.0,22007.0,13683.0,13683.0
Iraq,611.0,618.0,649.0,433.0,493.0,4964.0,4970.0,4548.0,3485.0,3229.35,4768.35,4142.35,4394.5,4759.14,2933.15,2548.49,3373.58,2178.43,1820.05,4965.61,4163.98,3348.13,2653.0
Ireland,847.0,596.0,912.0,598.0,630.0,631.26,724.27,666.58,968.32,901.73,599.23,706.69,802.35,599.5,708.65,806.49,681.03,691.6,694.09,886.58,932.66,749.42,701.2
Israel,31.0,10.0,21.0,31.0,28.0,28.0,15.0,14.0,16.0,22.0,29.0,28.0,23.13,27.7,12.7,24.5,,,,,,,
Italy,44199.45,46810.27,39519.36,36669.8,42337.88,36066.73,36994.31,32815.23,41622.96,49137.48,51116.76,45822.72,41874.89,52773.4,58545.44,45537.32,42431.76,36198.71,48786.41,46318.53,47551.78,45388.16,28397.58
Jamaica,78.42,60.06,105.0,146.0,134.0,151.31,166.26,159.82,158.21,140.07,151.15,149.53,148.45,120.31,133.3,125.1,114.93,150.39,176.12,152.71,134.48,137.69,118.93
Japan,84048.0,81154.0,80871.0,94734.0,93423.0,76925.0,88568.0,73823.0,77172.0,78566.0,83801.0,84918.0,76529.0,79391.0,83532.0,87118.0,79484.0,83795.0,80969.0,79993.0,78807.0,78792.0,77235.0
Jordan,39.0,43.0,53.0,41.0,53.0,57.0,51.0,61.0,62.0,59.0,61.0,55.0,61.0,54.6,58.2,52.5,41.6,38.0,22.7,18.4,18.3,18.3,19.1
Kazakhstan,7531.0,8081.0,8890.0,8600.0,8000.0,7900.0,7700.0,8200.0,7400.0,6800.0,8022.02,7900.0,7600.0,7731.0,8262.83,9269.19,11620.76,11210.19,10395.35,9993.66,9660.32,9208.47,900.9
Kenya,1910.65,1894.16,2792.66,3221.16,3095.22,2978.92,3194.17,3435.15,3215.88,2542.91,2834.0,3484.46,3944.95,4192.14,3680.29,3600.89,3629.24,3372.93,3573.73,3808.37,4020.61,3860.99,3100.21
Korea,4010.0,4151.0,3233.0,4902.0,4330.0,3673.0,3468.0,3631.0,3070.0,2813.0,3682.0,4598.0,3969.0,4289.0,2752.0,2146.0,2847.0,2820.0,3359.0,2791.0,3877.0,3054.0,3541.0
Kosovo,52.0,52.0,52.0,52.0,113.0,112.0,101.0,94.0,76.0,120.0,156.0,104.63,95.58,143.3,150.99,139.93,245.26,179.07,272.65,212.92,262.83,296.96,260.11
Kyrgyzstan,13682.0,12430.0,10787.0,13004.0,14094.3,13980.4,13652.5,14004.1,10759.1,10098.0,11254.6,14309.1,14179.0,13096.7,13297.6,11092.7,11497.8,14203.5,14318.3,13859.2,13979.12,12957.14,11928.6
Lao PDR,3687.2,3639.5,3477.2,3186.0,3354.9,3519.7,3605.9,3383.6,3728.0,3388.8,8457.3,12991.7,12768.8,15516.81,15748.9,16732.3,24868.01,31066.2,33741.87,28980.49,32791.73,36737.96,38853.71
Latvia,2819.16,2833.11,2463.6,2266.19,3109.38,3325.29,2698.32,2733.4,3109.04,3457.1,3520.51,2886.97,3706.96,2912.01,1993.64,1860.36,2529.52,4380.62,2431.57,2107.55,2603.04,2707.8,2749.82
Lebanon,443.6,331.8,677.84,1264.68,1071.44,1046.28,694.46,585.5,373.4,614.11,839.25,877.73,1177.46,1045.51,193.39,479.25,382.15,414.67,347.66,965.02,1024.51,670.0,700.0
Lesotho,368.02,371.9,398.7,409.02,404.83,458.33,482.81,508.6,504.63,506.55,501.82,490.68,486.58,516.49,521.39,533.47,511.13,502.04,515.96,391.68,426.34,531.42,480.26
Liberia,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.94,25.25,25.25,25.25,25.25,25.25,25.25,128.25,128.25,128.25,128.25,128.25,128.25
Lithuania,340.0,326.0,354.0,325.0,421.0,451.0,397.0,421.0,402.0,424.0,540.0,480.0,423.0,521.0,399.0,349.0,454.0,602.4,431.0,345.4,300.6,383.7,464.4
Luxembourg,123.5,118.03,99.73,79.42,104.06,92.94,111.31,116.7,132.11,105.84,107.66,63.0,98.3,119.2,107.79,99.25,115.41,85.65,92.78,106.92,91.6,106.81,64.09
Madagascar,541.87,566.19,537.63,614.21,639.01,649.91,639.93,721.26,701.83,744.11,730.69,710.77,775.66,747.79,833.15,965.36,917.44,815.33,1000.26,919.96,850.42,799.85,854.97
Malawi,1038.7,1061.58,1108.45,1186.65,1267.45,1325.21,1357.63,1384.89,1615.68,1762.21,1841.61,1880.96,1869.9,1859.76,1964.22,1953.86,1894.17,1585.7,1424.91,1674.82,1676.2,1694.32,1694.32
Malaysia,6994.0,6066.0,5415.0,5090.0,5573.05,6007.06,6323.08,5957.08,7807.15,6890.23,6361.37,8056.38,9251.38,11799.39,13541.03,15525.11,20358.24,26717.3,26296.29,26281.34,27302.34,27302.34,27302.34
Mali,245.0,360.0,788.17,1081.49,1020.23,1024.81,1016.23,1053.82,1087.52,1030.46,1064.07,1111.03,1211.35,1441.93,1498.23,1528.59,1645.37,1702.19,1702.19,1702.19,1702.19,1702.19,1702.19
Martinique,,,,,,,,,,,,,,,,,,,,0.01,0.02,,
Mauritius,95.65,70.82,85.86,117.77,122.27,114.88,76.64,83.86,108.04,122.41,101.43,57.19,74.78,96.24,92.25,123.29,100.91,91.22,125.95,100.05,117.25,108.27,129.7
Mexico,33133.0,28502.0,24951.0,19880.0,25206.0,27709.0,30446.0,27340.0,39194.0,26718.0,37131.0,36247.0,31883.0,28002.0,38893.0,30815.0,30698.0,31982.0,32526.0,23716.0,26817.0,32869.0,35851.0
Micronesia (Federated States of),3.61,3.61,3.61,,,,,,,,,,,,0.64,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
Moldova,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,389.0,358.0,407.0,356.2,271.69,313.4,320.3,268.57,230.23,285.1,272.23,297.53,272.95,312.64,274.3
Mongolia,3.95,5.41,5.41,5.41,5.41,5.41,5.41,5.41,6.41,21.35,36.87,54.56,53.8,61.36,67.76,61.29,86.69,86.49,80.69,87.39,85.29,85.09,63.69
Montenegro,,,,,,1866.0,1750.0,1284.0,1539.0,2071.0,2750.0,1203.85,1477.09,2504.17,1751.65,1491.0,1843.19,1023.9,2113.0,1633.5,1447.8,2010.1,1444.1
