Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Egypt,1528.99,-2227.93,5.57,322.5,-217.46,316.18,81.63,2786.15,-746.09,-1580.45,740.5,210.83,-590.67,422.61,483.39,480.14,-147.99,-30.67,2025.81,6003.87,1316.52
El Salvador,168.82,2.04,400.55,-73.51,349.92,471.67,19.62,466.23,-470.86,630.57,-62.68,-108.65,27.47,-56.62,-235.63,26.21,570.33,81.23,175.97,1036.58,618.91
Equatorial Guinea,0.14,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.19,0.24,0.0,-0.02,-0.02,-0.17
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,0.0,0.01,0.0,0.03,0.03,14.96,0.0,2.21,3.93,0.47,0.0,-0.02,-1.5
Estonia,-0.3,12.0,19.0,11.0,51.0,18.8,15.8,51.91,344.12,502.33,135.91,297.05,-255.98,170.83,173.78,22.13,270.84,130.28,153.72,828.17,-92.16
Eswatini,18.6,8.71,11.97,13.77,-10.49,24.1,28.7,-16.76,43.04,18.24,43.51,0.8,-35.58,35.88,-32.34,-91.43,-29.94,71.74,37.29,8.25,36.97
Ethiopia,341.23,15.95,256.44,239.5,316.35,428.53,108.79,-116.66,245.19,1418.99,1354.98,1274.21,1128.28,-1336.84,2167.67,945.54,2071.11,679.0,1293.7,519.13,745.38
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.8,0.1,0.9,0.5,-0.3,-0.01,0.15,0.9,-0.85,0.25,-0.1,-0.17,-0.89
Faroe Islands,0.0,21.75,-8.37,14.32,6.0,6.0,5.21,-11.41,-1.4,-26.4,26.0,3.6,1.8,42.8,33.8,-30.5,12.4,1.0,-15.8,1.3,4.0
Fiji,36.21,13.72,-120.5,33.63,-31.0,12.47,144.87,-8.32,-49.85,-52.35,48.71,58.04,-5.24,-103.54,-2.13,67.0,15.53,94.93,3.66,13.57,-24.77
Finland,-1831.86,-1716.85,-764.77,6566.22,-2163.75,-1001.86,1857.71,3457.18,-6081.63,2496.08,-19.32,4384.47,-2930.46,641.23,4256.4,-115.14,1062.94,663.83,-255.6,4044.09,2246.89
France,8273.98,-13405.28,-1223.35,961.63,-7442.52,5929.77,3380.03,8036.62,-4172.25,8526.29,-10654.83,19220.92,14177.15,-5390.03,-2201.81,7164.21,-6366.8,20986.65,-403.54,12076.48,-2916.12
