Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Egypt,1433.0,-2271.0,0.0,160.0,-375.0,281.0,0.0,2585.0,-828.0,-1819.0,183.0,-112.0,187.0,231.0,470.0,-277.0,-695.0,-124.0,395.0,1917.0,-392.0,812.0
El Salvador,-11.35,-23.86,332.41,-78.58,278.25,298.8,-223.39,306.28,-533.14,584.54,-64.71,-171.03,-61.11,-64.03,-365.74,-80.08,361.74,-73.69,-104.15,546.49,-248.97,417.22
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,2.0,-1.0,7.0,9.0,0.0,-8.5,8.32,6.09,4.08,-5.11,3.15,12.03,-16.53,1.5,-0.43,8.4,-9.0,-11.0,4.0,11.0,-7.0,0.0
Eswatini,2.7,-7.42,20.17,-0.53,-17.34,34.5,24.37,-4.5,60.55,52.98,45.42,-34.15,-39.62,38.74,-37.84,-98.61,-30.22,65.58,35.87,5.53,28.07,38.28
Ethiopia,346.12,30.95,257.08,239.41,312.44,426.53,126.75,-88.77,227.73,1403.72,1331.77,1126.91,950.86,-1520.07,2196.13,655.12,2079.0,927.95,974.05,748.7,539.13,-60.34
Faroe Islands,0.0,21.5,-10.81,9.31,4.0,1.0,4.45,-8.65,-3.4,-25.0,25.1,7.3,-9.2,30.1,12.4,-26.8,4.9,-3.1,-4.6,5.2,-8.4,30.6
Fiji,49.14,-12.75,-107.73,23.58,-28.94,2.43,169.0,-13.54,-35.27,-47.06,43.45,67.71,-1.26,-126.55,4.98,89.63,-4.31,75.59,-7.32,-1.22,-10.32,50.28
Finland,-1455.0,-2429.0,-1185.0,5478.62,-1285.62,-2290.31,2683.52,2934.92,-4426.1,235.96,-476.95,4414.09,-4020.53,558.44,3371.66,-969.57,-1027.66,-1470.37,-880.62,3462.86,-92.21,-2299.37
France,7842.33,-13744.07,-1526.1,689.04,-7902.02,4738.8,1112.0,6168.57,-6663.97,5707.64,-15458.33,14086.77,12089.8,-8147.8,-8216.36,5282.94,-10837.95,15110.17,-8197.88,5680.03,-2977.64,-14094.81
French Guiana,13.75,0.0,-79.75,74.0,15.0,113.0,-41.0,3.0,-151.0,110.0,2.0,92.0,-66.0,10.0,-7.0,-57.69,128.58,-28.06,-126.83,23.6,148.92,9.87
French Polynesia,6.66,-34.84,4.15,32.03,-8.48,12.73,14.45,-16.62,-3.13,56.47,-36.0,-15.0,-8.0,14.95,0.06,16.99,-7.61,-11.45,-4.6,0.9,-17.06,47.81
Gabon,0.09,63.35,13.29,-461.0,15.57,58.58,36.4,67.24,-21.2,-37.04,-67.08,68.08,27.63,-141.76,124.14,-96.69,93.0,67.0,0.0,0.0,0.0,0.0
Georgia,-345.91,1176.11,-214.3,-469.4,2.6,-628.8,1429.57,337.84,248.0,1957.89,-1482.44,-671.95,1050.7,64.13,118.42,875.48,-118.84,739.0,-1017.7,-683.5,1933.9,589.3
Germany,1001.0,391.0,-4803.0,2425.0,-1108.0,393.0,1138.0,-726.0,-1412.0,1922.0,-3281.0,4083.0,1243.0,-3411.0,-611.0,1570.0,-396.0,-2457.0,2038.0,-1010.0,936.0,-2032.0
Ghana,-1.16,-1572.69,-1150.65,1394.51,349.02,-10.16,-1891.6,2469.17,681.08,118.19,565.46,509.78,162.12,153.85,-2542.32,-283.15,54.36,401.86,1234.19,41.66,227.6,671.02
