Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estonia,0.21,0.21,0.35,0.48,0.58,1.09,1.33,1.19,1.87,6.17,8.05,9.15,12.34,9.2,11.18,15.42,13.05,14.12,16.09,28.13,48.87,39.95,0.0
Eswatini,99.64,99.66,99.67,99.68,99.7,99.69,99.71,99.73,99.72,99.75,99.76,99.78,99.78,99.76,99.78,99.77,99.7,99.67,99.74,99.76,100.0,99.78,0.0
Ethiopia,98.68,99.18,99.09,99.32,99.31,99.59,99.7,95.49,87.64,88.9,99.38,99.42,99.84,99.91,99.96,99.97,99.99,99.99,100.0,100.0,100.0,100.0,0.0
Falkland Islands (Malvinas),6.28,6.03,5.73,5.76,5.76,5.8,5.65,5.69,13.91,26.35,25.64,31.61,33.13,31.88,30.95,33.95,35.43,32.8,35.05,33.53,31.97,26.44,0.0
Faroe Islands,35.36,32.57,40.39,35.62,41.37,44.51,44.32,44.62,39.45,38.98,28.9,39.08,37.93,38.43,50.82,60.1,49.94,51.12,48.84,40.43,38.69,38.08,0.0
Fiji,76.14,77.69,73.33,56.84,58.8,52.83,50.65,66.22,64.92,60.1,51.32,58.02,64.98,61.21,49.22,47.83,53.82,51.25,58.34,54.48,54.55,60.07,0.0
Finland,33.41,28.93,26.46,22.61,29.86,33.25,27.29,29.94,35.88,30.11,29.99,32.89,40.56,35.97,38.58,44.5,44.23,46.61,45.74,46.44,51.87,52.93,0.0
France,12.56,13.85,11.21,10.84,10.87,9.54,10.6,11.28,12.61,12.72,13.47,11.52,14.88,17.07,16.42,15.85,17.55,16.48,19.53,19.83,23.53,22.04,0.0
French Guiana,89.44,69.79,66.5,51.07,60.97,59.84,73.37,67.43,66.49,44.64,56.46,60.6,68.9,60.19,60.27,58.94,54.03,66.85,63.6,49.3,52.09,69.08,0.0
French Polynesia,27.67,27.37,20.4,20.24,24.32,22.57,24.33,25.5,23.28,22.24,30.52,27.47,25.71,25.69,29.12,29.74,31.54,30.91,29.32,28.89,30.41,23.73,0.0
Gabon,58.91,58.91,58.91,58.91,58.92,58.92,58.92,58.91,58.92,57.17,51.8,45.73,46.24,49.44,44.79,48.2,41.57,48.93,53.94,53.94,53.95,53.95,0.0
Gambia,0.0,0.02,0.11,0.3,0.49,0.65,0.71,0.83,0.97,1.21,1.23,1.89,2.02,2.13,2.01,1.62,1.43,1.43,1.43,1.63,1.63,1.6,0.0
Georgia,79.26,80.16,92.89,91.09,87.33,85.4,70.87,81.85,84.84,88.22,93.21,78.11,74.46,82.23,80.37,78.04,80.69,80.64,82.59,76.05,74.74,81.22,0.0
