Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,222955.11,278132.11,288812.81,284694.16,354851.61,401113.69,442586.35,496289.94,606278.74,654484.3,780007.57,783048.98,994392.04,1086040.9,1269855.86,1381355.19,1522404.63,1648540.78,1810863.56,1986041.21,2149036.49,2402806.23,2625255.97
Chinese Taipei,5608.5,6422.5,4394.45,4831.45,5084.7,6014.1,6215.65,6743.15,6714.75,6291.35,7075.9,7388.55,9073.35,9232.45,8259.75,8783.9,11031.8,10695.0,10863.4,13440.15,13392.35,15700.45,22017.35
Colombia,32776.06,32528.31,34726.81,36949.27,40924.47,40680.18,43416.33,45076.54,47032.59,41858.25,41236.36,49933.88,48683.89,51417.27,49246.71,50027.09,50574.51,63025.09,61708.79,56458.23,51908.03,64595.31,64729.0
Comoros (the),,,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.15,1.64,1.64,1.67,1.65,0.52,0.05
Congo,85.4,361.94,423.9,372.46,360.36,386.11,401.7,363.8,405.0,360.0,460.65,821.98,1018.44,985.39,1069.07,1129.34,1163.56,1234.72,1077.92,1078.51,1078.56,1078.66,1078.66
Cook Islands (the),0.08,0.08,0.08,0.08,0.1,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.95,1.44,3.46,4.67,5.86,10.17,9.81,8.88,7.12,7.18
Costa Rica,6821.64,6840.5,7362.62,7408.31,7996.0,8013.69,8109.13,8680.61,8737.21,8787.5,8865.28,8900.69,9252.55,8952.25,9092.76,10638.05,10628.01,11213.7,11256.48,11299.35,11604.95,12656.44,12619.41
Croatia,6453.9,7180.4,5851.8,5457.8,7632.6,7060.5,6647.0,4743.0,5840.6,7483.69,9298.52,5288.02,5262.05,9275.47,9936.36,7509.9,8362.79,7115.7,9781.3,8346.8,8550.6,10527.9,8950.9
Cuba,1033.2,1005.3,1045.2,848.2,876.6,487.3,499.89,534.43,700.19,689.2,554.5,572.8,683.6,849.5,778.51,802.52,812.02,787.87,759.77,908.53,952.68,952.81,791.56
Curaçao,8.04,71.11,71.11,71.11,71.11,71.11,71.11,71.11,63.12,63.12,63.12,63.12,71.07,132.87,148.51,146.09,131.97,180.73,250.9,244.15,207.24,207.09,197.51
Cyprus,,,,,0.81,0.92,1.36,3.1,14.91,31.19,73.12,178.6,257.02,327.15,317.44,399.52,424.64,435.21,477.43,514.75,596.66,774.76,883.97
Czechia,2283.94,2577.08,2998.13,1879.08,2741.36,3132.6,3520.69,3410.83,3730.93,4654.48,5902.67,7248.17,8064.61,9308.91,9171.64,9421.27,9384.9,9626.75,9431.21,10055.86,10352.12,10644.58,10766.73
Côte d'Ivoire,1764.0,1800.0,1729.0,1832.0,1748.0,1433.0,1510.0,1797.0,1898.0,2131.0,1618.0,1774.0,1789.0,1605.87,1914.0,1352.9,1529.7,2048.5,2964.7,3486.5,3384.3,2637.1,2875.7
DR Congo,5996.42,5974.42,6110.42,5981.7,6884.35,7186.71,7222.06,7575.19,7238.93,7633.83,7510.12,7192.35,7558.16,8341.74,8721.8,8768.9,8833.85,9419.1,10535.79,11517.18,12588.66,14304.8,15424.47
Democratic People's Republic of Korea (the),10200.88,10600.91,10620.93,11721.21,12501.31,13133.35,12621.41,13281.47,14069.9,12502.1,13402.52,13203.55,13504.78,13711.76,13665.91,10031.79,12844.38,11950.05,12867.62,11087.01,12905.55,16235.22,16752.7
Denmark,5572.0,5846.0,6789.0,8078.0,9519.0,9812.0,9201.0,10305.0,10096.0,10063.0,12429.18,14180.85,14837.23,15967.73,17983.68,18937.05,18390.03,21797.91,20759.47,23073.2,23446.87,26097.98,28518.47
Djibouti,,,,,,,,,,,,,,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,70.0,70.0
Dominica,31.71,27.16,36.07,28.66,33.89,28.03,27.98,22.17,21.46,24.08,24.07,36.78,27.7,37.66,31.59,25.4,37.32,28.11,24.96,20.93,20.02,20.6,23.47
Dominican Republic,1030.12,834.6,1069.26,1470.24,1678.13,1997.82,1860.88,1776.71,1479.14,1550.39,1513.42,1612.22,1985.9,2228.91,1639.35,1378.27,2037.01,3110.09,2992.03,2679.35,3414.87,4038.36,4326.76
Ecuador,7611.23,7070.65,7524.26,7180.42,7414.94,6985.51,7275.06,9257.39,11504.37,9445.14,8875.4,11414.69,12536.92,11395.1,11953.65,13638.98,16446.0,20658.19,21224.31,25218.47,24909.55,26076.7,25123.93
Egypt,14104.73,15633.72,13405.79,13411.36,13733.86,13516.4,13832.58,13914.21,16700.36,15954.27,14373.82,15114.32,15325.15,14734.48,15157.09,15640.48,16120.62,15972.63,15941.96,17967.77,23971.64,25164.08,26488.04
El Salvador,2033.69,2202.51,2230.37,2619.24,2552.39,2894.77,3332.57,3395.42,3859.64,3321.94,3958.41,3924.59,3818.81,3847.53,3789.65,3537.61,3659.36,4150.79,4240.08,4406.97,5447.05,6111.24,6017.4
Equatorial Guinea,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,67.0,127.0,127.0,127.0,127.2,127.44,127.44,127.41,127.4,127.23,127.01
Eritrea,,,,,,,,0.2,2.0,2.0,2.01,2.01,2.04,2.07,17.03,17.03,19.24,46.12,50.92,51.03,51.0,49.51,48.86
Estonia,18.3,18.0,30.0,49.0,60.0,111.0,129.8,145.6,197.51,541.63,1043.96,1179.87,1476.92,1220.94,1391.77,1565.55,1587.68,1858.52,1988.8,2142.52,2970.69,2878.53,2856.15
Eswatini,278.79,297.38,306.09,318.06,328.17,317.58,341.63,370.24,353.43,396.43,414.17,457.51,458.27,422.66,458.51,426.16,334.74,303.26,377.51,413.72,421.92,462.18,484.16
Ethiopia,1720.85,2062.08,2078.03,2334.47,2573.97,2890.32,3318.85,3427.64,3310.98,3556.17,4975.16,6330.14,7604.35,8732.63,7395.79,9563.46,10509.0,12580.11,13259.11,14552.81,15071.95,15810.23,15513.97
Falkland Islands (Malvinas),0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.21,2.1,3.9,4.0,4.9,5.4,5.1,5.09,5.25,6.15,5.54,5.44,5.27,4.38,4.57,4.62
Faroe Islands,75.3,75.3,97.05,88.68,103.0,109.0,115.0,120.21,108.8,107.4,81.0,107.0,110.6,112.4,155.2,189.0,158.5,170.9,171.9,156.1,157.4,161.4,226.6
Fiji,512.7,548.91,562.63,442.13,475.76,444.76,457.23,602.11,593.78,543.93,491.58,540.29,598.33,593.09,489.55,487.42,554.42,569.95,664.88,668.54,682.11,657.34,725.97
Finland,23378.58,21546.72,19829.87,19065.1,25631.32,23467.57,22465.71,24323.43,27780.6,21698.97,24195.05,24175.73,28560.2,25629.75,26270.97,30527.37,30412.23,31475.17,32139.0,31883.4,35927.49,38174.38,38668.06
France,67819.66,76093.64,62688.36,61465.01,62426.65,54984.12,60913.89,64293.92,72330.54,68158.29,76684.58,66027.92,85248.77,99436.19,94038.55,91835.81,99000.62,92633.38,113503.26,113052.05,125206.87,122250.95,113895.12
French Guiana,409.77,423.53,423.53,343.77,417.77,432.91,545.97,504.99,508.09,359.18,477.88,518.08,624.38,551.68,568.78,563.88,504.14,630.98,602.61,478.4,509.59,688.13,694.05
French Polynesia,148.35,155.19,120.53,124.92,157.27,149.13,162.26,177.11,161.13,158.21,215.67,184.81,174.09,170.09,194.33,198.99,216.98,212.07,202.42,200.11,202.92,191.66,241.97
Gabon,1172.79,1172.88,1236.23,1249.52,788.52,804.09,862.67,899.07,966.31,945.14,908.1,841.02,909.1,936.76,795.0,920.38,823.7,916.72,983.73,983.74,983.73,984.28,983.09
Gambia (the),,,,,,,0.08,0.11,0.11,0.38,0.55,2.13,2.14,2.58,2.74,2.93,3.68,4.18,4.24,5.04,5.03,4.95,4.82
Georgia,5881.3,5535.39,6711.5,6497.2,6027.8,6030.4,5401.6,6831.17,7169.01,7417.01,9374.9,7892.46,7220.51,8271.21,8335.34,8453.76,9338.76,9298.88,10034.98,9019.95,8345.0,10288.83,10888.58
Germany,35475.0,37895.0,44477.0,46670.0,57957.0,63402.0,72511.0,89368.0,94283.0,95938.0,105180.0,124038.0,143043.0,152339.0,162526.0,188785.0,189672.0,216323.0,222075.0,240332.0,251481.0,233638.2,251087.0
Ghana,6623.2,6622.04,5049.35,3898.7,5293.21,5642.23,5628.17,3736.57,6211.94,6893.02,7011.21,7576.67,8086.45,8249.46,8413.21,5877.35,5600.23,5905.08,6079.06,7461.73,7381.06,7614.65,8290.78
