Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Madagascar,,,,,,,,0.0,0.21,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maldives,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malta,,,,,,,,,,,,,0.01,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshall Islands (the),,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinique,,,,,0.0,0.0,0.0,-0.2,0.2,-0.5,0.3,0.3,-0.1,0.0,0.8,-1.0,0.0,4.54,40.2,-4.34,6.99,-8.45
Mauritania,,,,,,,,,,,,,0.0,0.0,90.92,0.0,0.0,0.0,26.93,0.0,0.0,0.0
Mauritius,,,,,0.01,-0.03,-0.01,-0.03,1.13,1.01,0.32,0.74,0.04,-0.44,-0.48,15.26,-3.34,0.46,0.17,2.84,-2.7,0.1
Mexico,-1.0,3.0,-2.0,1.0,-1.0,40.0,203.0,7.0,327.0,643.0,409.0,2040.0,497.0,2241.0,2319.0,1633.0,64.0,2435.0,4003.0,2822.0,1194.0,-267.0
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,0.14,0.0,0.0,0.0
Moldova,,,,,,,,,,,,,,0.48,0.07,1.0,4.45,14.97,14.95,13.22,26.17,66.06
Mongolia,0.0,0.0,0.01,0.0,0.0,0.0,0.45,0.0,0.0,0.2,0.0,0.34,52.9,72.49,27.16,4.95,-3.1,184.6,120.3,-2.1,105.8,-54.5
Montenegro,,,,,,,,,,,,,,,,,,46.0,152.4,20.0,4.7,4.6
Morocco,142.0,-12.1,8.9,-3.9,7.4,-23.1,95.7,19.3,93.2,267.4,48.54,35.9,628.2,567.5,595.7,480.6,34.9,805.85,858.44,-107.3,514.78,249.21
Myanmar,,,,,,,,,,,,,,,,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.03,0.0,0.0,0.0,0.0,0.0
Nepal,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.18,0.05,0.0,0.0,0.0
Netherlands,-3.61,121.95,372.41,550.8,196.08,599.43,442.39,555.26,182.08,-531.31,983.92,-105.86,663.49,192.88,1371.02,-518.49,967.84,49.01,1016.75,1859.12,299.61,3292.41
New Caledonia,-0.47,1.33,-3.48,6.73,6.11,10.78,8.59,-1.06,5.74,10.17,-6.19,11.52,-4.76,4.9,4.36,-16.42,-0.03,-0.12,11.58,-8.01,-7.53,2.07
New Zealand,19.0,16.0,-8.0,215.0,252.0,8.0,308.0,128.0,418.0,161.0,320.0,122.0,-57.0,189.0,153.0,-23.0,-250.0,-23.0,187.0,50.0,337.0,223.0
Nicaragua,,,,,,,,,,51.39,47.28,118.89,232.01,284.4,19.47,-136.4,-94.48,166.03,-70.42,-180.23,105.89,-93.96
North Macedonia,,,,,,,,,,,,,,,50.14,-11.29,1.0,-13.14,4.47,15.07,-13.54,4.32
Norway,-4.0,48.0,143.0,34.0,247.0,137.0,256.0,21.0,59.0,-98.0,403.0,266.0,333.0,335.0,297.0,-397.0,738.0,1022.86,1647.65,4388.02,1856.65,3040.68
Oman,,,,,,,,,,,,,,,,,,,,94.66,15.72,-4.29
Pakistan,,,,,,,,,0.0,0.0,0.0,0.27,128.5,228.5,258.5,438.5,668.5,913.5,170.0,-308.5,977.0,763.5
Panama,,,,,,,,,,,,,,,52.45,451.3,-133.43,105.16,89.14,-88.21,-59.35,54.06
