Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Costa Rica,0.34,0.37,0.45,0.52,0.59,0.67,0.72,0.75,0.78,0.8,0.84,1.03,1.89,4.43,7.77,13.54,20.36,23.31,49.13,71.39,82.76,107.39
Cote d'Ivoire,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1.4,2.7,5.6
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.14,2.4,11.28,35.17,57.26,65.54,78.7,74.9,83.1,95.5,148.9
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,18.1,29.1,39.1,60.58,125.35,191.8,204.44,218.08
Curacao,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.13,2.79,9.3,15.3,18.21,19.07,19.75,20.44,22.12,13.98
Cyprus,0.0,0.0,0.0,0.0,0.45,0.57,1.0,1.74,2.56,3.84,6.39,11.94,21.54,47.1,83.59,126.66,145.94,172.01,199.49,218.27,295.61,468.34
Czechia,0.05,0.08,0.12,0.18,0.29,0.41,0.59,2.13,12.94,88.81,615.7,2182.02,2148.62,2032.65,2122.87,2263.85,2131.46,2199.26,2364.78,2336.67,2337.85,2315.96
DR Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.5,0.78,0.86,4.06,6.69,25.4,25.4,25.4,25.4
Democratic People's Republic of Korea,0.0,0.04,0.05,0.33,0.43,0.47,0.54,0.59,0.64,0.82,1.23,2.18,2.96,7.92,14.14,29.4,40.68,44.87,48.74,53.9,53.9,66.8
Denmark,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.03,14.94,103.86,517.54,595.52,604.26,743.78,751.48,952.97,963.27,1180.53,1308.93
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
Dominica,0.12,0.12,0.14,0.14,0.16,0.16,0.19,0.28,0.31,0.33,0.34,0.34,0.36,0.36,0.36,0.36,0.36,0.36,0.18,0.18,0.18,0.36
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.53,11.76,23.45,39.2,70.01,117.08,182.15,401.3,625.24,877.64
Ecuador,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.03,0.01,0.0,0.06,0.33,3.66,16.48,36.06,38.76,37.48,38.08,37.62,37.76,36.87
Egypt,0.17,0.84,1.01,1.01,1.01,1.01,1.01,1.18,1.51,2.18,25.2,244.57,504.2,25.44,139.55,43.97,194.03,602.54,553.05,1489.0,4452.51,4972.5
El Salvador,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,1.16,1.63,21.65,24.62,164.48,314.57,577.29,984.3,1643.19
Equatorial Guinea,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.43,0.43,0.41,0.39,0.22
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.07,15.03,15.03,17.24,21.72,22.2,22.19,22.17,20.67
