Geopolitical entity (reporting),2007 June,2007 December,2008 June,2008 December,2009 June,2009 December,2010 June,2010 December,2011 June,2011 December,2012 June,2012 December,2013 June,2013 December,2014 June,2014 December,2015 June,2015 December,2016 June,2016 December,2017 June,2017 December,2018 June,2018 December,2019 June,2019 December,2020 June,2020 December,2021 June,2021 December,2022 June,2022 December
Estonia,,0.0786,0.0814,0.085,0.0922,0.092,0.097,0.1004,0.0973,0.1042,0.1096,0.1123,0.1351,0.1367,0.1307,0.1325,0.1302,0.1291,0.1208,0.1238,0.1207,0.1319,0.1348,0.1418,0.1357,0.1411,0.1236,0.1291,0.1324,0.1939,0.2056,0.265
Euro area,0.1987,0.1569,0.1635,0.1709,0.1727,0.1722,0.1761,0.1813,0.1893,0.1938,0.1972,0.2056,0.2112,0.2147,0.2161,0.2203,0.2199,0.2206,0.2162,0.2179,0.2208,0.22,0.222,0.227,0.2295,0.2293,0.2259,0.2269,0.2322,0.2474,0.2609,0.2906
Finland,,0.1149,0.1223,0.1273,0.1296,0.1289,0.1325,0.137,0.154,0.1573,0.1549,0.1559,0.1578,0.1559,0.1563,0.1538,0.1552,0.153,0.1541,0.1545,0.1581,0.1599,0.1612,0.1698,0.1734,0.1783,0.174,0.1773,0.1767,0.184,0.1934,0.2278
France,,0.1222,0.1213,0.1203,0.1206,0.1207,0.1283,0.135,0.1383,0.1422,0.1392,0.1501,0.1524,0.1596,0.1585,0.1702,0.1676,0.1682,0.1685,0.1711,0.1704,0.1756,0.1748,0.1799,0.1778,0.1913,0.1893,0.1958,0.1946,0.2022,0.2092,0.2204
Georgia,,,,,,,,,,,,,,,,,,,,,,,0.0685,0.0741,0.0809,0.0619,0.0663,0.0568,0.0631,0.066,,0.0845
Germany,0.2025,0.2105,0.2148,0.2195,0.2282,0.2294,0.2375,0.2438,0.2528,0.2531,0.2595,0.2676,0.2919,0.2921,0.2981,0.2974,0.2951,0.2946,0.2969,0.2977,0.3048,0.3048,0.2987,0.3,0.3088,0.2878,0.3043,0.3006,0.3193,0.3234,0.3279,0.3357
Greece,,0.0984,0.1047,0.1099,0.1154,0.1032,0.1181,0.1211,0.125,0.1238,0.1391,0.1418,0.1563,0.1697,0.1767,0.1785,0.1767,0.1771,0.1716,0.1723,0.1711,0.162,0.1672,0.1646,0.1595,0.1551,0.1674,0.1641,0.168,0.1974,0.2101,0.2438
Hungary,,0.1296,0.1548,0.1553,0.1483,0.1662,0.1701,0.1574,0.1682,0.1553,0.1549,0.1618,0.1397,0.1326,0.1202,0.1146,0.1127,0.1145,0.1114,0.1125,0.1125,0.1134,0.1123,0.1118,0.112,0.1097,0.1031,0.1009,0.1003,0.1001,0.0948,0.1084
Iceland,,,,,,,,,,,0.111,0.1164,0.1053,0.1072,0.1133,0.1158,0.1197,0.1265,0.1312,0.1478,0.1598,0.1518,0.1545,0.1457,0.1429,0.1431,0.1341,0.1248,0.1355,0.1387,0.153,0.1548
Ireland,,0.1918,0.1769,0.2033,0.203,0.1855,0.1804,0.1875,0.1901,0.2086,0.2155,0.2289,0.2295,0.2405,0.2407,0.2536,0.2426,0.2454,0.232,0.2338,0.2305,0.2355,0.2369,0.2539,0.2423,0.2546,0.2413,0.2616,0.2555,0.2974,0.2324,0.3225
Italy,,,0.2031,0.2227,0.2098,0.1997,0.1965,0.192,0.1987,0.2065,0.2132,0.2297,0.2292,0.2323,0.2446,0.2338,0.245,0.2428,0.2342,0.2261,0.2132,0.208,0.2067,0.2161,0.2301,0.2341,0.2226,0.2153,0.2259,0.236,0.3115,0.3641
Kosovo,,,,,,,,,,,,,0.0564,0.0558,0.0552,0.0586,0.0625,0.0614,0.059,0.0592,0.0662,0.0654,0.0633,0.0638,0.06,0.0605,0.0605,0.0608,0.0605,0.0607,0.0611,0.0637
Latvia,,0.0729,0.0842,0.1003,0.1052,0.1054,0.1049,0.1048,0.1168,0.1342,0.1382,0.1369,0.1378,0.1358,0.1365,0.1301,0.1635,0.165,0.1628,0.1624,0.1586,0.1582,0.1531,0.1511,0.1629,0.164,0.142,0.1432,0.1403,0.1886,0.1759,0.2992
Liechtenstein,,,,,,,,,,,,,,,0.1531,0.1548,0.1841,0.1803,0.1728,0.1747,0.1724,0.1618,0.1916,0.1962,0.1985,0.2048,0.2115,0.2078,0.2071,0.2121,0.2201,0.2318
Lithuania,,0.087,0.086,0.0865,0.0951,0.0926,0.1156,0.1216,0.1214,0.1221,0.126,0.1268,0.137,0.1391,0.133,0.1319,0.1256,0.1243,0.1231,0.1171,0.1116,0.1107,0.1097,0.1097,0.1255,0.1254,0.1426,0.1321,0.1348,0.1477,0.1497,0.2429
Luxembourg,0.1684,0.1645,0.1645,0.1609,0.1882,0.1882,0.1726,0.1747,0.1678,0.1662,0.1696,0.1706,0.1665,0.1646,0.1738,0.1738,0.1767,0.1767,0.1698,0.1698,0.1615,0.1618,0.1671,0.1691,0.1798,0.1799,0.1986,0.1985,0.1988,0.1989,0.2017,0.2042
Malta,,0.0918,0.0993,0.1536,0.1708,0.1513,0.1647,0.1653,0.1651,0.1666,0.1673,0.1678,0.1664,0.1689,0.1474,0.1248,0.1257,0.1269,0.1257,0.1274,0.1328,0.1298,0.1285,0.1307,0.129,0.1304,0.1284,0.1301,0.1285,0.1318,0.1298,0.1277
Moldova,,,,,,,,,,,,,,,,,0.0819,0.0881,0.0962,0.0923,0.0977,0.1013,0.102,0.1029,0.0936,0.1019,0.1068,0.0993,0.0851,0.0888,0.1172,0.2245
Montenegro,,,,,,,,,0.087,0.0852,0.091,0.095,0.0956,0.0988,0.0985,0.0988,0.0982,0.0988,0.0956,0.097,0.0983,0.1003,0.1024,0.103,0.1032,0.1028,0.0988,0.0999,0.098,0.0974,0.0961,0.0982
Netherlands,0.1759,0.1741,0.1769,0.1798,0.1979,0.1906,0.1767,0.1789,0.1802,0.1801,0.185,0.1864,0.1898,0.1905,0.1841,0.1801,0.1986,0.1846,0.162,0.1592,0.1562,0.1556,0.1706,0.1718,0.2067,0.2055,0.1427,0.1361,0.1281,0.1449,0.0451,0.135
North Macedonia,,,,,,,,,,,,0.0791,0.081,0.078,0.0785,0.0823,0.0826,0.0835,0.0822,0.0828,0.082,0.0811,0.0781,0.0787,0.0783,0.079,0.0782,0.0833,0.0841,0.084,0.094,0.103
Norway,,0.1498,0.1639,0.17,0.1565,0.1563,0.2027,0.1907,0.2133,0.187,0.1881,0.1775,0.1909,0.1778,0.1653,0.1661,0.1614,0.1434,0.1515,0.1631,0.1642,0.1605,0.1751,0.1907,0.1867,0.1744,0.1355,0.1322,0.1826,0.2206,0.1994,0.2302
Poland,,0.138,0.1259,0.1295,0.1131,0.1291,0.1341,0.1382,0.1471,0.1351,0.1418,0.1529,0.148,0.1437,0.1421,0.1408,0.1444,0.1418,0.1332,0.1352,0.1446,0.1451,0.141,0.1396,0.1343,0.1376,0.1475,0.151,0.1548,0.1574,0.1464,0.1604
Portugal,,0.1562,0.1482,0.1525,0.1508,0.1594,0.1584,0.1666,0.1654,0.1881,0.1993,0.2063,0.2081,0.2131,0.2175,0.2231,0.2279,0.2285,0.235,0.2298,0.2284,0.223,0.2246,0.2293,0.215,0.2181,0.212,0.2133,0.2089,0.217,0.2199,0.2222
Romania,,0.1141,0.1061,0.1103,0.0976,0.0979,0.1031,0.1052,0.1082,0.1085,0.105,0.1075,0.1323,0.1279,0.129,0.1248,0.1303,0.1319,0.126,0.1233,0.1198,0.1289,0.1333,0.1317,0.1358,0.1421,0.1459,0.1449,0.1536,0.1602,0.2362,0.3411
Serbia,,,,,,,,,,,,,0.0564,0.0608,0.0607,0.0596,0.0575,0.0645,0.0641,0.0654,0.0664,0.0695,0.0705,0.0709,0.0706,0.0721,0.0738,0.0737,0.0791,0.0811,0.0808,0.0869
Slovakia,,0.137,0.1421,0.1526,0.154,0.156,0.152,0.1637,0.1682,0.171,0.1716,0.1722,0.1698,0.1678,0.1507,0.1523,0.1506,0.1517,0.1423,0.1537,0.1435,0.1442,0.1566,0.1462,0.1577,0.1585,0.1686,0.1724,0.1668,0.1624,0.1796,0.1884
Slovenia,,0.1116,0.1147,0.1156,0.1346,0.1341,0.1401,0.1426,0.1441,0.1492,0.1542,0.1542,0.161,0.1657,0.163,0.1632,0.1589,0.1631,0.1618,0.1629,0.1609,0.1613,0.1613,0.1638,0.1634,0.1666,0.1448,0.1694,0.1662,0.1711,0.139,0.1956
Spain,,0.14,0.1366,0.1557,0.1577,0.1684,0.1728,0.1851,0.1981,0.2088,0.219,0.2275,0.2228,0.2273,0.2165,0.2367,0.2309,0.237,0.2185,0.2284,0.2296,0.2177,0.2383,0.2477,0.2403,0.2394,0.2239,0.2298,0.2323,0.2816,0.3071,0.335
Sweden,0.1558,0.1613,0.1698,0.1746,0.1602,0.1646,0.1839,0.1958,0.2092,0.2044,0.2027,0.2083,0.2101,0.2046,0.1967,0.1867,0.1872,0.1874,0.1915,0.1962,0.1955,0.2013,0.191,0.2049,0.2033,0.2052,0.1914,0.2017,0.2114,0.2604,0.2278,0.274
Turkey,,0.0901,0.0998,0.1222,0.1144,0.1179,0.1342,0.1374,0.1218,0.1145,0.131,0.147,0.1495,0.1314,0.1192,0.131,0.136,0.1222,0.1267,0.1205,0.1048,0.0959,0.0904,0.0857,0.0847,0.1043,0.0995,0.0822,0.0834,0.0788,0.0866,
Ukraine,,,,,,,,,,,,,,,,,,,0.0249,0.032,0.0393,0.0383,0.041,0.041,0.0442,0.0487,0.0466,0.0396,0.0485,,,
United Kingdom,,0.1481,0.1458,0.1603,0.1466,0.1407,0.1386,0.1449,0.1433,0.1584,0.1682,0.1785,0.1741,0.1797,0.1918,0.2013,0.2125,0.2183,0.1951,0.1831,0.1766,0.1856,0.1887,0.2024,0.2122,0.221,0.2203,,,,,
